evidence_class,axis,axis_value,is_base_value,agent_scale,seed,strategy,accuracy,false_confident_consensus_rate,questions_per_claim,independent_roots_per_question,conflict_detection_rate,resolved_gap_rate,final_independent_roots,total_questions,total_new_roots,n_claims
synthetic_simulation,corrupt_root_prob,0.1,0,1000,1,continual,0.918,0.01,1.7946666666666666,0.8298662704309064,0.7436548223350253,0.31970260223048325,4.716,2692,2234,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,2,none,0.852,0.02,0.0,0.0,0.6504610226320201,0.0,3.271333333333333,0,0,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,2,random,0.882,0.012,3.0,0.23244444444444445,0.7585917854149203,0.11826544021024968,3.9686666666666666,4500,1046,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,2,uncertainty,0.868,0.021333333333333333,0.9446666666666667,0.21665490472829924,0.6462699077954736,0.00788436268068331,3.476,1417,307,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,2,lineage,0.8686666666666667,0.012,0.236,0.923728813559322,0.6898575020955574,0.0,3.489333333333333,354,327,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,2,continual,0.9166666666666666,0.014666666666666666,1.6966666666666668,0.8573673870333989,0.6974015088013411,0.3088042049934297,4.726,2545,2182,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,3,none,0.838,0.025333333333333333,0.0,0.0,0.6572847682119205,0.0,3.252666666666667,0,0,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,3,random,0.8633333333333333,0.014666666666666666,3.0,0.22733333333333333,0.7665562913907285,0.12375,3.9346666666666668,4500,1023,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,3,uncertainty,0.8673333333333333,0.025333333333333333,1.0066666666666666,0.22185430463576158,0.6548013245033113,0.00875,3.476,1510,335,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,3,lineage,0.8573333333333333,0.008,0.22066666666666668,0.9637462235649547,0.7152317880794702,0.0,3.465333333333333,331,319,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,3,continual,0.9046666666666666,0.011333333333333334,1.754,0.8487267198783732,0.7177152317880795,0.29875,4.741333333333333,2631,2233,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,4,none,0.846,0.022,0.0,0.0,0.6705298013245033,0.0,3.263333333333333,0,0,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,4,random,0.866,0.01,3.0,0.23044444444444445,0.7798013245033113,0.12579415501905972,3.9546666666666668,4500,1037,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,4,uncertainty,0.8726666666666667,0.02266666666666667,1.004,0.2403718459495352,0.6672185430463576,0.008894536213468869,3.5046666666666666,1506,362,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,4,lineage,0.8706666666666667,0.012,0.23733333333333334,0.9353932584269663,0.7160596026490066,0.0,3.485333333333333,356,333,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,4,continual,0.9113333333333333,0.013333333333333334,1.7566666666666666,0.8246679316888046,0.7218543046357616,0.31512071156289706,4.712,2635,2173,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,5,none,0.8486666666666667,0.02666666666666667,0.0,0.0,0.6888141295206055,0.0,3.2266666666666666,0,0,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,5,random,0.8633333333333333,0.012666666666666666,3.0,0.23,0.7964676198486123,0.10146699266503667,3.9166666666666665,4500,1035,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,5,uncertainty,0.8653333333333333,0.02666666666666667,1.0386666666666666,0.23234916559691912,0.6862910008410429,0.008557457212713936,3.468,1558,362,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,5,lineage,0.874,0.014,0.23466666666666666,0.9460227272727273,0.7409587888982339,0.0,3.4486666666666665,352,333,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,5,continual,0.9146666666666666,0.021333333333333333,1.7713333333333334,0.8332706059465562,0.736753574432296,0.3117359413202934,4.7026666666666666,2657,2214,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,6,none,0.86,0.019333333333333334,0.0,0.0,0.6421487603305785,0.0,3.2493333333333334,0,0,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,6,random,0.882,0.010666666666666666,3.0,0.22511111111111112,0.743801652892562,0.11892583120204604,3.9246666666666665,4500,1013,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,6,uncertainty,0.8886666666666667,0.019333333333333334,1.0126666666666666,0.2350230414746544,0.6388429752066116,0.01278772378516624,3.4873333333333334,1519,357,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,6,lineage,0.88,0.012,0.23266666666666666,0.9312320916905444,0.6950413223140496,0.0,3.466,349,325,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,6,continual,0.906,0.013333333333333334,1.7486666666666666,0.8337781166603127,0.7,0.29923273657289,4.707333333333334,2623,2187,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,7,none,0.838,0.025333333333333333,0.0,0.0,0.6717299578059072,0.0,3.183333333333333,0,0,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,7,random,0.88,0.012666666666666666,3.0,0.2311111111111111,0.7780590717299578,0.10552763819095477,3.8766666666666665,4500,1040,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,7,uncertainty,0.868,0.025333333333333333,1.0226666666666666,0.2392438070404172,0.6691983122362869,0.013819095477386936,3.428,1534,367,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,7,lineage,0.8633333333333333,0.010666666666666666,0.26866666666666666,0.9156327543424317,0.7358649789029535,0.0,3.429333333333333,403,369,1500
synthetic_simulation,corrupt_root_prob,0.1,0,1000,7,continual,0.904,0.013333333333333334,1.78,0.8213483146067416,0.7316455696202532,0.3203517587939699,4.645333333333333,2670,2193,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,0,none,0.8046666666666666,0.029333333333333333,0.0,0.0,0.7026813880126183,0.0,3.2106666666666666,0,0,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,0,random,0.8226666666666667,0.018666666666666668,3.0,0.23133333333333334,0.7910094637223974,0.11441144114411442,3.9046666666666665,4500,1041,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,0,uncertainty,0.8213333333333334,0.03,1.1846666666666668,0.2312886888013506,0.7018927444794952,0.005500550055005501,3.4846666666666666,1777,411,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,0,lineage,0.8273333333333334,0.016,0.25466666666666665,0.93717277486911,0.7563091482649842,0.0,3.449333333333333,382,358,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,0,continual,0.8786666666666667,0.02266666666666667,1.9713333333333334,0.8363205951978356,0.7476340694006309,0.28272827282728275,4.859333333333334,2957,2473,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,1,none,0.806,0.026,0.0,0.0,0.6978021978021978,0.0,3.2293333333333334,0,0,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,1,random,0.824,0.014,3.0,0.22511111111111112,0.793563579277865,0.10556186152099886,3.9046666666666665,4500,1013,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,1,uncertainty,0.8246666666666667,0.026,1.166,0.22355631789594055,0.6946624803767661,0.00681044267877412,3.49,1749,391,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,1,lineage,0.822,0.016666666666666666,0.25133333333333335,0.9045092838196287,0.7456828885400314,0.0,3.4566666666666666,377,341,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,1,continual,0.8753333333333333,0.022,1.926,0.8386985115957079,0.7472527472527473,0.246311010215664,4.844666666666667,2889,2423,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,2,none,0.8053333333333333,0.028,0.0,0.0,0.6963434022257552,0.0,3.240666666666667,0,0,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,2,random,0.8293333333333334,0.018666666666666668,3.0,0.22266666666666668,0.8124006359300477,0.09453302961275627,3.9086666666666665,4500,1002,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,2,uncertainty,0.8293333333333334,0.029333333333333333,1.1146666666666667,0.22966507177033493,0.6947535771065183,0.0056947608200455585,3.4966666666666666,1672,384,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,2,lineage,0.8233333333333334,0.013333333333333334,0.23266666666666666,0.9484240687679083,0.7591414944356121,0.0,3.461333333333333,349,331,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,2,continual,0.866,0.018666666666666668,1.902,0.8412197686645636,0.7511923688394276,0.2642369020501139,4.8406666666666665,2853,2400,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,3,none,0.8106666666666666,0.030666666666666665,0.0,0.0,0.6883830455259027,0.0,3.199333333333333,0,0,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,3,random,0.8313333333333334,0.014,3.0,0.2268888888888889,0.7912087912087912,0.09173272933182333,3.88,4500,1021,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,3,uncertainty,0.8273333333333334,0.030666666666666665,1.178,0.22014714204867006,0.6868131868131868,0.006795016987542469,3.458666666666667,1767,389,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,3,lineage,0.832,0.012,0.25466666666666665,0.9240837696335078,0.7511773940345369,0.0,3.4346666666666668,382,353,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,3,continual,0.87,0.016,1.912,0.8399581589958159,0.7409733124018838,0.2536806342015855,4.8053333333333335,2868,2409,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,4,none,0.79,0.026,0.0,0.0,0.7112341772151899,0.0,3.248,0,0,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,4,random,0.8233333333333334,0.016,3.0,0.23155555555555554,0.8006329113924051,0.10044642857142858,3.9426666666666668,4500,1042,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,4,uncertainty,0.818,0.026,1.1993333333333334,0.23735408560311283,0.7096518987341772,0.004464285714285714,3.5326666666666666,1799,427,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,4,lineage,0.8066666666666666,0.016666666666666666,0.22933333333333333,0.9302325581395349,0.757120253164557,0.0,3.461333333333333,344,320,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,4,continual,0.866,0.018666666666666668,1.952,0.8422131147540983,0.7634493670886076,0.2421875,4.892,2928,2466,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,5,none,0.7966666666666666,0.024,0.0,0.0,0.7001594896331739,0.0,3.2013333333333334,0,0,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,5,random,0.816,0.012666666666666666,3.0,0.2348888888888889,0.7894736842105263,0.08764044943820225,3.906,4500,1057,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,5,uncertainty,0.824,0.024,1.1993333333333334,0.23846581434130074,0.6993620414673046,0.006741573033707865,3.4873333333333334,1799,429,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,5,lineage,0.8246666666666667,0.013333333333333334,0.24733333333333332,0.9191374663072777,0.7559808612440191,0.0,3.4286666666666665,371,341,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,5,continual,0.8673333333333333,0.013333333333333334,1.9186666666666667,0.8502432244614315,0.7472089314194578,0.2876404494382023,4.832666666666666,2878,2447,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,6,none,0.8053333333333333,0.026,0.0,0.0,0.69713400464756,0.0,3.248,0,0,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,6,random,0.8186666666666667,0.019333333333333334,3.0,0.23466666666666666,0.7947327652982185,0.10367892976588629,3.952,4500,1056,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,6,uncertainty,0.8246666666666667,0.027333333333333334,1.1673333333333333,0.23986293546544832,0.6932610379550735,0.006688963210702341,3.528,1751,420,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,6,lineage,0.8153333333333334,0.014666666666666666,0.248,0.9005376344086021,0.7420604182804028,0.0011148272017837235,3.4713333333333334,372,335,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,6,continual,0.8693333333333333,0.02,1.97,0.8602368866328257,0.7575522850503486,0.26421404682274247,4.942666666666667,2955,2542,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,7,none,0.8,0.035333333333333335,0.0,0.0,0.6893052302888368,0.0,3.216666666666667,0,0,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,7,random,0.8313333333333334,0.022,3.0,0.2348888888888889,0.7931303669008587,0.11001100110011001,3.921333333333333,4500,1057,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,7,uncertainty,0.824,0.035333333333333335,1.188,0.23849607182940516,0.6869633099141296,0.007700770077007701,3.5,1782,425,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,7,lineage,0.81,0.018666666666666668,0.25266666666666665,0.9393139841688655,0.7525370804059328,0.0,3.454,379,356,1500
synthetic_simulation,corrupt_root_prob,0.14,1,1000,7,continual,0.8746666666666667,0.020666666666666667,1.9546666666666668,0.8332196452933152,0.7462919594067136,0.2607260726072607,4.8453333333333335,2932,2443,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,0,none,0.7373333333333333,0.048666666666666664,0.0,0.0,0.7186115214180206,0.0,3.2,0,0,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,0,random,0.766,0.027333333333333334,3.0,0.23,0.8124076809453471,0.07980295566502463,3.89,4500,1035,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,0,uncertainty,0.76,0.05,1.3366666666666667,0.23940149625935161,0.7149187592319055,0.006896551724137931,3.52,2005,480,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,0,lineage,0.7606666666666667,0.028666666666666667,0.262,0.910941475826972,0.7784342688330872,0.0,3.4386666666666668,393,358,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,0,continual,0.806,0.04066666666666666,2.1293333333333333,0.8299937382592361,0.7776957163958641,0.19310344827586207,4.967333333333333,3194,2651,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,1,none,0.7333333333333333,0.043333333333333335,0.0,0.0,0.7248520710059172,0.0,3.172,0,0,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,1,random,0.7553333333333333,0.03,3.0,0.22044444444444444,0.8121301775147929,0.06930693069306931,3.8333333333333335,4500,992,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,1,uncertainty,0.7553333333333333,0.044,1.36,0.23088235294117648,0.7204142011834319,0.006930693069306931,3.486,2040,471,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,1,lineage,0.7533333333333333,0.02266666666666667,0.264,0.9545454545454546,0.7936390532544378,0.0,3.424,396,378,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,1,continual,0.7926666666666666,0.03266666666666666,2.162,0.8273203823620104,0.7921597633136095,0.18613861386138614,4.960666666666667,3243,2683,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,2,none,0.742,0.04666666666666667,0.0,0.0,0.7273402674591382,0.0,3.236666666666667,0,0,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,2,random,0.762,0.034,3.0,0.22155555555555556,0.8150074294205052,0.06856023506366307,3.9013333333333335,4500,997,1500
