agent_scale,strategy,runs,accuracy_mean,accuracy_sd,false_confident_consensus_rate_mean,false_confident_consensus_rate_sd,questions_per_claim_mean,questions_per_claim_sd,independent_roots_per_question_mean,independent_roots_per_question_sd,conflict_detection_rate_mean,conflict_detection_rate_sd,resolved_gap_rate_mean,resolved_gap_rate_sd,final_independent_roots_mean,final_independent_roots_sd,runtime_sec_mean,runtime_sec_sd
100,none,10,0.8053,0.007491476638301837,0.02955,0.0038184493653256116,0.0,0.0,0.0,0.0,0.6954420254044761,0.004840853927547687,0.0,0.0,3.22825,0.024267319130422703,0.07546888269999955,0.0008104307175618153
100,random,10,0.82565,0.006544930183822529,0.0179,0.003247221034122014,3.0,0.0,0.22701666666666667,0.004194683584058565,0.7898293089489148,0.006540244724064718,0.09652534992329585,0.008235257501953525,3.9093,0.023622258806285018,0.1934528417999985,0.0014223289178067948
100,uncertainty,10,0.8263,0.005608525256745818,0.03005,0.003531210053854691,1.167,0.019859226794839976,0.23153990127089302,0.007567252909353141,0.6930742433338454,0.004983710431191665,0.006470495768213015,0.002414422272186472,3.4984,0.02466869361041322,0.12443914489999912,0.0017284959642388073
100,lineage,10,0.8231999999999999,0.0066549897737629244,0.0164,0.0029325756597230364,0.24235,0.011935125563739254,0.9276100728597588,0.018674126883776097,0.7492127238665864,0.007179981883016973,0.00016590651983033634,0.00034976199267817867,3.453,0.014953632037438656,0.09218766930000158,0.0011735038506509924
100,continual,10,0.8724500000000001,0.007170347891761507,0.02095,0.0034677081768799403,1.9346999999999999,0.023643415808869746,0.8372404374491998,0.0058679116634988366,0.7482530557113787,0.007242301127821578,0.2541964407655147,0.009189465716022258,4.84805,0.033633192930001034,0.1921263329999988,0.0023395796400947056
1000,none,10,0.80565,0.008850768955921911,0.02815,0.0036821642186808203,0.0,0.0,0.0,0.0,0.6964824993034865,0.009206594722429453,0.0,0.0,3.229,0.012886254520051809,0.07551685189999943,0.0005669588338871724
1000,random,10,0.8289,0.009654590157594026,0.0172,0.002859681411936962,3.0,0.0,0.22863333333333333,0.004059587037320453,0.7925661435368074,0.01046390258616976,0.10254043059720404,0.006150974000464882,3.9149000000000003,0.020109146619828915,0.19276359119999853,0.0009854151148735672
1000,uncertainty,10,0.8264,0.007392939574726402,0.0286,0.003747591819348053,1.1539,0.02347078562336119,0.23223582882236057,0.005698310743960211,0.6942383825676118,0.009192274840140046,0.007184792706647579,0.0027653871501779263,3.49705,0.01784259883910786,0.12423851380000031,0.001868427198162257
1000,lineage,10,0.8224,0.010134649037391993,0.0148,0.0018589124658131586,0.24715,0.008608942379229224,0.9229012028274544,0.014856297791958979,0.750820442097421,0.007436446573795107,8.163265306122449e-05,0.0002581451151157861,3.45705,0.01307552845755942,0.09277762639999879,0.0010399552726579814
1000,continual,10,0.8724,0.007093815773067536,0.019,0.0027284509239574833,1.9358499999999998,0.03189309399297042,0.839025201488676,0.011391813488009498,0.7498564511729717,0.010141126874830405,0.2602121879405274,0.01487942466953183,4.8532,0.042895350693415546,0.19288682649999914,0.0025182806140805953
10000,none,10,0.81005,0.007900246128374014,0.028,0.0035978388574871506,0.0,0.0,0.0,0.0,0.6933472939374234,0.008885458566866813,0.0,0.0,3.2413,0.021542206634109384,0.07664378690000007,0.0025413333378988736
10000,random,10,0.83355,0.005246427355829872,0.01655,0.00224165117714599,3.0,0.0,0.22581666666666667,0.006508517686012372,0.789398006127566,0.008715404391895292,0.10091348579846666,0.007830969675547729,3.91875,0.02738333840535561,0.1942851219999966,0.0014426065283925959
10000,uncertainty,10,0.833,0.006749485577105536,0.02845,0.00350753157901362,1.1322,0.017443878263989587,0.235638049961543,0.0072531609139975944,0.6910900617971099,0.009202158896237305,0.007497187153954028,0.002210923380773418,3.5081,0.019776248380317187,0.1234877709000017,0.0017985856731889786
10000,lineage,10,0.82705,0.008220739355773032,0.01455,0.0037002252183707235,0.23645,0.01352251209403539,0.9259196595534537,0.01713832763153663,0.7467207623005059,0.010635593780459824,0.0,0.0,3.4602,0.012051279323513044,0.09210296060000189,0.0017365140784347752
10000,continual,10,0.8714500000000001,0.004387165625118564,0.01945,0.0028230204470468226,1.916,0.01931608425926719,0.8421692546321929,0.006679933186023364,0.7466452083255029,0.007755166827037719,0.2593017037484684,0.010995657183162996,4.85495,0.021457257254572204,0.19261965660000158,0.0031513429400930183
