axis,axis_value,strategy,runs,is_base_value,accuracy_mean,accuracy_sd,false_confident_consensus_rate_mean,false_confident_consensus_rate_sd,independent_roots_per_question_mean,independent_roots_per_question_sd,resolved_gap_rate_mean,resolved_gap_rate_sd,questions_per_claim_mean,questions_per_claim_sd,final_independent_roots_mean,final_independent_roots_sd
corrupt_root_prob,0.05,none,8,0,0.87775,0.007608996346222391,0.016583333333333332,0.0014447496625026731,0.0,0.0,0.0,0.0,0.0,0.0,3.214166666666667,0.02172775271617473
corrupt_root_prob,0.05,random,8,0,0.9066666666666666,0.006005288674451206,0.008833333333333334,0.0019436506316151004,0.22666666666666666,0.005126959555693247,0.13974835145495393,0.0112579760512814,3.0,0.0,3.8941666666666666,0.03265937722362323
corrupt_root_prob,0.05,uncertainty,8,0,0.9044166666666666,0.0035623694629384048,0.016916666666666667,0.0012817398889233115,0.2351114670383211,0.009863600945047069,0.012235316641046393,0.0037964551321322646,0.8618333333333333,0.01848809140526744,3.41675,0.025960745703086374
corrupt_root_prob,0.05,lineage,8,0,0.89825,0.0035265433410788874,0.007333333333333333,0.0015936381457791913,0.913106997278944,0.02817732454287491,0.0,0.0,0.25116666666666665,0.01202510601213872,3.4435,0.015983126022787883
corrupt_root_prob,0.05,continual,8,0,0.93975,0.005461989869391309,0.008833333333333334,0.0013685817012571348,0.8375385758749687,0.009874114450400972,0.3676110778400755,0.014012352940363428,1.5865833333333335,0.022346300428866185,4.542916666666667,0.036370121175020996
corrupt_root_prob,0.1,none,8,0,0.84575,0.008054871344779658,0.023083333333333334,0.0026170988420780653,0.0,0.0,0.0,0.0,0.0,0.0,3.23425,0.030759564263018985
corrupt_root_prob,0.1,random,8,0,0.8714166666666666,0.008496030819302617,0.012833333333333334,0.0019436506316151,0.22802777777777777,0.0037306821652332445,0.11285376490565194,0.009851412897395091,3.0,0.0,3.9183333333333334,0.03406063687201088
corrupt_root_prob,0.1,uncertainty,8,0,0.8691666666666666,0.008755950357709163,0.02341666666666667,0.0023754698783308415,0.2289728010023272,0.011249970241495103,0.008986120279293892,0.0029987310693429634,1.0104166666666667,0.029807717121577763,3.4656666666666665,0.025913163903546498
corrupt_root_prob,0.1,lineage,8,0,0.8673333333333333,0.007508725083591265,0.0115,0.0021006423809631215,0.9272136838513185,0.021807397900052553,0.0,0.0,0.24275,0.01596598566993903,3.459083333333333,0.021575816856283177
corrupt_root_prob,0.1,continual,8,0,0.9096666666666666,0.006274159654095461,0.014,0.0033617833513757693,0.8345876983067464,0.012334385669740879,0.3074934944342454,0.011881936503705648,1.7611666666666668,0.03082927901272496,4.703833333333334,0.029559195383941608
