axis,axis_value,focus,baseline,metric,oriented_mean_delta,sem,verdict,seeds_favoring_focus,n_seeds,focus_questions_per_claim,baseline_questions_per_claim
corrupt_root_prob,0.1,lineage,random,resolved_gap_rate,-0.11285376490565194,0.003483000432008341,loss,0,8,0.24275,3.0
corrupt_root_prob,0.1,lineage,uncertainty,accuracy,-0.0018333333333333257,0.002114762923408264,tie,4,8,0.24275,1.0104166666666667
corrupt_root_prob,0.1,lineage,uncertainty,false_confident_consensus_rate,0.011916666666666667,0.0011780903298970011,win,8,8,0.24275,1.0104166666666667
corrupt_root_prob,0.1,lineage,uncertainty,independent_roots_per_question,0.6982408828489913,0.008127411358102759,win,8,8,0.24275,1.0104166666666667
corrupt_root_prob,0.1,lineage,uncertainty,resolved_gap_rate,-0.008986120279293892,0.001060211537043598,loss,0,8,0.24275,1.0104166666666667
corrupt_root_prob,0.1,lineage,continual,accuracy,-0.042333333333333334,0.0032805342189809214,loss,0,8,0.24275,1.7611666666666668
corrupt_root_prob,0.1,lineage,continual,false_confident_consensus_rate,0.0025,0.0007740842003337551,win,8,8,0.24275,1.7611666666666668
corrupt_root_prob,0.1,lineage,continual,independent_roots_per_question,0.09262598554457219,0.007120196026727012,win,8,8,0.24275,1.7611666666666668
corrupt_root_prob,0.1,lineage,continual,resolved_gap_rate,-0.3074934944342454,0.00420089893769912,loss,0,8,0.24275,1.7611666666666668
corrupt_root_prob,0.1,continual,none,accuracy,0.06391666666666668,0.0035777919500853076,win,8,8,1.7611666666666668,0.0
corrupt_root_prob,0.1,continual,none,false_confident_consensus_rate,0.009083333333333334,0.0012210943569484823,win,8,8,1.7611666666666668,0.0
corrupt_root_prob,0.1,continual,none,independent_roots_per_question,0.8345876983067464,0.004360863874421975,win,8,8,1.7611666666666668,0.0
corrupt_root_prob,0.1,continual,none,resolved_gap_rate,0.3074934944342454,0.00420089893769912,win,8,8,1.7611666666666668,0.0
corrupt_root_prob,0.1,continual,random,accuracy,0.038250000000000006,0.004045254911817954,win,8,8,1.7611666666666668,3.0
corrupt_root_prob,0.1,continual,random,false_confident_consensus_rate,-0.0011666666666666672,0.0015210167860651843,tie,2,8,1.7611666666666668,3.0
