experiment_name,evidence_class,agent_scale,seed,strategy,runtime_sec,accuracy,false_confident_consensus_rate,questions_per_claim,independent_roots_per_question,conflict_detection_rate,resolved_gap_rate,final_independent_roots,total_questions,total_new_roots,n_claims
continual_discovery_synthetic,synthetic_simulation,100,6,random,0.19225612200000342,0.823,0.0215,3.0,0.2205,0.7835112692763938,0.0829103214890017,3.8975,6000,1323,2000
continual_discovery_synthetic,synthetic_simulation,100,6,uncertainty,0.12386545300000762,0.8245,0.035,1.14,0.23201754385964912,0.6903914590747331,0.004230118443316413,3.5005,2280,529,2000
continual_discovery_synthetic,synthetic_simulation,100,6,lineage,0.09146310300000948,0.815,0.02,0.2385,0.9517819706498952,0.7479240806642942,0.0,3.463,477,454,2000
continual_discovery_synthetic,synthetic_simulation,100,6,continual,0.19089706399999784,0.8695,0.0245,1.9,0.8357894736842105,0.7419928825622776,0.2428087986463621,4.824,3800,3176,2000
continual_discovery_synthetic,synthetic_simulation,100,7,none,0.07537751099999923,0.8065,0.03,0.0,0.0,0.7027827116637063,0.0,3.237,0,0,2000
continual_discovery_synthetic,synthetic_simulation,100,7,random,0.19582622499999047,0.835,0.0135,3.0,0.23083333333333333,0.7998815867377146,0.10714285714285714,3.9295,6000,1385,2000
continual_discovery_synthetic,synthetic_simulation,100,7,uncertainty,0.12510622599999977,0.827,0.03,1.173,0.2399829497016198,0.7010065127294257,0.006644518272425249,3.5185,2346,563,2000
continual_discovery_synthetic,synthetic_simulation,100,7,lineage,0.09182408499999895,0.822,0.0155,0.243,0.8950617283950617,0.7613972764949675,0.0008305647840531562,3.4545,486,435,2000
continual_discovery_synthetic,synthetic_simulation,100,7,continual,0.19391419299999768,0.876,0.0205,1.96,0.8301020408163265,0.7608052101835405,0.26993355481727577,4.864,3920,3254,2000
continual_discovery_synthetic,synthetic_simulation,100,8,none,0.07718404800000656,0.8025,0.03,0.0,0.0,0.6945582211819777,0.0,3.2045,0,0,2000
continual_discovery_synthetic,synthetic_simulation,100,8,random,0.1936675809999997,0.824,0.0205,3.0,0.232,0.7911059098888239,0.1086048454469507,3.9005,6000,1392,2000
continual_discovery_synthetic,synthetic_simulation,100,8,uncertainty,0.12611981400000616,0.825,0.031,1.205,0.22448132780082988,0.6910473961380924,0.005847953216374269,3.475,2410,541,2000
continual_discovery_synthetic,synthetic_simulation,100,8,lineage,0.09318964700000265,0.8225,0.0205,0.2535,0.9230769230769231,0.7466354593329433,0.0,3.4385,507,468,2000
continual_discovery_synthetic,synthetic_simulation,100,8,continual,0.19309048799999573,0.8685,0.0225,1.9495,0.8435496281097717,0.7437097717963721,0.24644945697577275,4.849,3899,3289,2000
continual_discovery_synthetic,synthetic_simulation,100,9,none,0.07664890899999932,0.812,0.0265,0.0,0.0,0.6874632136550912,0.0,3.2365,0,0,2000
continual_discovery_synthetic,synthetic_simulation,100,9,random,0.1929274099999958,0.824,0.0135,3.0,0.22133333333333333,0.7804590935844614,0.09600679694137638,3.9005,6000,1328,2000
continual_discovery_synthetic,synthetic_simulation,100,9,uncertainty,0.12282349400000214,0.825,0.0265,1.1575,0.22289416846652269,0.6851088875809299,0.006796941376380629,3.4945,2315,516,2000
continual_discovery_synthetic,synthetic_simulation,100,9,lineage,0.09373710899998855,0.8315,0.0115,0.233,0.944206008583691,0.7433784579164214,0.0,3.4565,466,440,2000
continual_discovery_synthetic,synthetic_simulation,100,9,continual,0.1913248960000118,0.881,0.017,1.916,0.8387265135699373,0.7410241318422601,0.24893797790994052,4.8435,3832,3214,2000
continual_discovery_synthetic,synthetic_simulation,1000,0,none,0.07487008299999331,0.7985,0.029,0.0,0.0,0.7020648967551623,0.0,3.224,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,0,random,0.19320391600000164,0.823,0.0205,3.0,0.229,0.7882005899705015,0.11560693641618497,3.911,6000,1374,2000
continual_discovery_synthetic,synthetic_simulation,1000,0,uncertainty,0.12462688499999786,0.8205,0.03,1.1735,0.23647209203238176,0.6997050147492625,0.007431874483897605,3.5015,2347,555,2000
continual_discovery_synthetic,synthetic_simulation,1000,0,lineage,0.09209718200000339,0.8215,0.016,0.2465,0.9330628803245437,0.7510324483775811,0.0,3.454,493,460,2000
continual_discovery_synthetic,synthetic_simulation,1000,0,continual,0.19371586500000149,0.8825,0.0205,1.966,0.8379959308240081,0.7480825958702065,0.27332782824112306,4.8715,3932,3295,2000
continual_discovery_synthetic,synthetic_simulation,1000,1,none,0.07627978099999666,0.8045,0.0295,0.0,0.0,0.6946428571428571,0.0,3.223,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,1,random,0.19254562499999395,0.8245,0.016,3.0,0.225,0.7928571428571428,0.09682947729220223,3.898,6000,1350,2000
continual_discovery_synthetic,synthetic_simulation,1000,1,uncertainty,0.12256998800000929,0.8245,0.0295,1.1405,0.23103901797457255,0.6916666666666667,0.010282776349614395,3.4865,2281,527,2000
continual_discovery_synthetic,synthetic_simulation,1000,1,lineage,0.0942096389999989,0.8245,0.016,0.2585,0.9013539651837524,0.7458333333333333,0.0,3.456,517,466,2000
continual_discovery_synthetic,synthetic_simulation,1000,1,continual,0.19114486799999497,0.8755,0.0225,1.911,0.8409209837781266,0.7458333333333333,0.2527849185946872,4.83,3822,3214,2000
continual_discovery_synthetic,synthetic_simulation,1000,2,none,0.07515901900001154,0.805,0.027,0.0,0.0,0.6985645933014354,0.0,3.24,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,2,random,0.19403743300000542,0.831,0.0175,3.0,0.2255,0.8074162679425837,0.09957081545064378,3.9165,6000,1353,2000
continual_discovery_synthetic,synthetic_simulation,1000,2,uncertainty,0.12196065999999917,0.831,0.028,1.121,0.23371989295272078,0.6967703349282297,0.006008583690987125,3.502,2242,524,2000
continual_discovery_synthetic,synthetic_simulation,1000,2,lineage,0.09160899099998687,0.8245,0.0135,0.2385,0.949685534591195,0.7583732057416268,0.0,3.4665,477,453,2000
continual_discovery_synthetic,synthetic_simulation,1000,2,continual,0.19156151299999635,0.872,0.0195,1.9075,0.8414154652686763,0.7523923444976076,0.271244635193133,4.845,3815,3210,2000
continual_discovery_synthetic,synthetic_simulation,1000,3,none,0.07618961299999683,0.809,0.033,0.0,0.0,0.6910377358490566,0.0,3.2205,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,3,random,0.19398896199999172,0.8275,0.0165,3.0,0.23033333333333333,0.7977594339622641,0.09957446808510638,3.9115,6000,1382,2000
continual_discovery_synthetic,synthetic_simulation,1000,3,uncertainty,0.12799800199999822,0.8265,0.033,1.152,0.2230902777777778,0.6898584905660378,0.005106382978723404,3.4775,2304,514,2000
