metric,system_a,system_b,n_pairs,mean_a,mean_b,mean_diff,ci_low,ci_high,cohens_dz,t_stat,p_paired_t,p_wilcoxon,p_holm,significant_holm_05,question_budget,condition
accuracy_macro,B7,B6,15,0.5231887856531093,0.5097732621679713,0.013415523485138126,0.010023475077459869,0.016479582942036382,2.0221977782815137,7.83193831802194,1.751871038951656e-06,0.0001220703125,1.751871038951656e-06,True,0.05,random|0.3|node_coordinated|0.2|0|post_failure
acc_revision_sensitive,B7,B6,15,0.16518687895831746,0.11867121716260162,0.04651566179571585,0.04150547502853724,0.051228022386086834,4.735892943314269,18.342034498877393,3.4637193558279606e-11,6.103515625e-05,3.4637193558279606e-11,True,0.05,random|0.3|node_coordinated|0.2|0|post_failure
knowledge_survival,B7,B6,15,0.75329,0.7523466666666665,0.0009433333333333109,-0.001456833333333365,0.003046916666666638,0.20438735328596688,0.7915888154519615,0.44180650728970056,0.1688232421875,1.0,False,0.05,random|0.3|node_coordinated|0.2|0|post_failure
contradiction_f1,B7,B6,15,0.5546920801165208,0.5560980740055423,-0.0014059938890217246,-0.004013753359283956,0.0010492647844898228,-0.269424821472913,-1.0434778466194985,0.3144113162330004,0.359130859375,1.0,False,0.05,random|0.3|node_coordinated|0.2|0|post_failure
ece_recalibrated,B7,B6,15,0.010362019090809214,0.00861038083846693,0.0017516382523422834,-0.00020413021105614507,0.003820903491136057,0.4277129059393989,1.6565249616612714,0.11984779906819229,0.1876220703125,1.0,False,0.05,random|0.3|node_coordinated|0.2|0|post_failure
accuracy_macro,B3Q,B3,15,0.5229640862227224,0.499793919717396,0.023170166505326398,0.021405593179867087,0.025248851618999535,5.944175564072783,23.02169296658697,1.58411830442303e-12,6.103515625e-05,6.842251658724244e-12,True,0.05,random|0.3|node_coordinated|0.2|0|post_failure
acc_revision_sensitive,B3Q,B3,15,0.13637324911682544,0.0682768299103315,0.06809641920649392,0.06369958919268259,0.07227625597617673,7.713955298743829,29.87602040542331,4.417196630330196e-14,6.103515625e-05,1.3251589890990589e-13,True,0.05,random|0.3|node_coordinated|0.2|0|post_failure
knowledge_survival,B3Q,B3,15,0.7546766666666666,0.75243,0.002246666666666686,0.0005199166666666767,0.004076666666666676,0.6170532494758365,2.3898369589430852,0.031475382533154427,0.046782132998777204,0.15737691266577214,False,0.05,random|0.3|node_coordinated|0.2|0|post_failure
contradiction_f1,B3Q,B3,15,0.5378117982827977,0.5399097222648485,-0.00209792398205082,-0.00405650880061836,-0.00011935248350525252,-0.5121339272690856,-1.9834861713409686,0.06728062865574878,0.083251953125,1.0,False,0.05,random|0.3|node_coordinated|0.2|0|post_failure
ece_recalibrated,B3Q,B3,15,0.008498509204149848,0.008985869115500193,-0.0004873599113503448,-0.002516014797875923,0.0017325323762955045,-0.11230177087267097,-0.43494288833945577,0.6702336302323189,0.638671875,1.0,False,0.05,random|0.3|node_coordinated|0.2|0|post_failure
accuracy_macro,B7,B6,15,0.4996834660512659,0.4768134725986705,0.022869993452595393,0.021411509706106387,0.02432519899701957,7.6689072693860645,29.701550137941222,4.788935350705329e-14,6.103515625e-05,4.310041815634796e-13,True,0.05,random|0.3|root|0.2|0|post_failure
acc_revision_sensitive,B7,B6,15,0.17226452890149682,0.11695586244359808,0.05530866645789867,0.052649492635034614,0.057993181056257864,10.061797854953712,38.96917552514124,1.1162752524147395e-15,6.103515625e-05,1.0046477271732654e-14,True,0.05,random|0.3|root|0.2|0|post_failure
knowledge_survival,B7,B6,15,0.7236600000000001,0.7175233333333332,0.006136666666666657,0.004856666666666678,0.007346666666666657,2.4085563825211986,9.328298757906184,2.194710802807915e-07,6.103515625e-05,2.1947108028079148e-06,True,0.05,random|0.3|root|0.2|0|post_failure
contradiction_f1,B7,B6,15,0.8259217745444367,0.827805613955604,-0.001883839411167439,-0.00429706736450215,0.00042299860405717776,-0.38911693594528235,-1.5070434126433367,0.1540288639352885,0.22930908203125,1.0,False,0.05,random|0.3|root|0.2|0|post_failure
ece_recalibrated,B7,B6,15,0.010090325303744405,0.008759153826351656,0.0013311714773927494,-0.001425678860288783,0.004049848751213345,0.23397881567130188,0.9061960564602873,0.3801643877224685,0.25238037109375,1.0,False,0.05,random|0.3|root|0.2|0|post_failure
accuracy_macro,B3Q,B3,15,0.4907916387555274,0.45823520280013746,0.032556435955389894,0.030710319040354535,0.03432467624791886,8.684642226939275,33.63547471270551,8.58626324518147e-15,6.103515625e-05,1.202076854325406e-13,True,0.05,random|0.3|root|0.2|0|post_failure
