condition,system,placement,aggregation,knowledge_survival,ks_ci_low,ks_ci_high,accuracy_macro,iss,contradiction_f1,ece_recalibrated,storage_per_claim,n_seeds
correlated_org|0.5|none|0.0|0|post_failure,B2,broad,count,0.8767433333333334,0.8752112250534451,0.8782754416132218,0.6037824828459679,0.9999955574671427,0.8371499955217941,0.005289714144099201,875.0997866666668,15
correlated_org|0.5|none|0.0|0|post_failure,B2L,broad,lineage,0.8761433333333333,0.8745874962721318,0.8776991703945347,0.6022119893110787,0.9999995231628418,0.8405341790516528,0.005293091349729741,875.0997866666668,15
correlated_org|0.5|none|0.0|0|post_failure,B3,random,count,0.82068,0.8196950313783457,0.8216649686216543,0.5576531093349997,0.6838175813357036,0.41736100824048294,0.004846921873756088,4.0,15
correlated_org|0.5|none|0.0|0|post_failure,B3L,random,lineage,0.8210999999999999,0.819292952436577,0.8229070475634229,0.5583169797895825,0.6841320395469666,0.4179574260182559,0.0057568732322668,4.0,15
correlated_org|0.5|none|0.0|0|post_failure,B5,support-count,count,0.82039,0.8188931352687284,0.8218868647312715,0.5510715856746875,0.6245185573895772,0.0,0.0030169845782179144,4.0,15
correlated_org|0.5|none|0.0|0|post_failure,B6,lineage,lineage,0.8231500000000002,0.8211257734408238,0.8251742265591765,0.571305504777282,0.7458364089330037,0.6426615438849166,0.007484930131256692,4.0,15
correlated_org|0.5|none|0.0|0|post_failure,B6C,lineage,count,0.8234133333333333,0.8217753435685052,0.8250513230981614,0.5717314966679041,0.7456608454386393,0.6360836060649819,0.00674249564686427,4.0,15
random|0.3|node_coordinated|0.05|0|post_failure,B2,broad,count,0.8764800000000001,0.875093143237253,0.8778668567627473,0.6039541749464843,1.0,0.5093613839732859,0.005953726291199392,875.0997866666668,15
random|0.3|node_coordinated|0.05|0|post_failure,B2L,broad,lineage,0.8742066666666666,0.8726871562174089,0.8757261771159243,0.6006449516787024,1.0,0.5098310047666533,0.004873510090984371,875.0997866666668,15
random|0.3|node_coordinated|0.05|0|post_failure,B3,random,count,0.85092,0.849042332888425,0.852797667111575,0.5843372788788446,0.7535644372304281,0.2788870437192344,0.005450860915245072,4.0,15
random|0.3|node_coordinated|0.05|0|post_failure,B3L,random,lineage,0.8503066666666668,0.8486448320615138,0.8519685012718198,0.5835617643120625,0.7535492897033691,0.27873352691565695,0.007852126625573348,4.0,15
random|0.3|node_coordinated|0.05|0|post_failure,B5,support-count,count,0.8501566666666667,0.8484042719170499,0.8519090614162834,0.5773891252420728,0.6610102375348409,0.2162596153993031,0.004303280722508451,4.0,15
random|0.3|node_coordinated|0.05|0|post_failure,B6,lineage,lineage,0.8509533333333335,0.849440048941893,0.852466617724774,0.5951210060309958,0.8519028941790263,0.32187750650822183,0.007206198876221662,4.0,15
random|0.3|node_coordinated|0.05|0|post_failure,B6C,lineage,count,0.8506533333333335,0.8485848047471163,0.8527218619195507,0.5942260440631855,0.8521520495414734,0.3212174287721085,0.006812425624932498,4.0,15
random|0.3|node_coordinated|0.2|0|post_failure,B2,broad,count,0.8500233333333334,0.848478552705109,0.8515681139615577,0.5786583650561482,1.0,0.8512043357957565,0.006515730843192858,875.0997866666668,15
random|0.3|node_coordinated|0.2|0|post_failure,B2L,broad,lineage,0.8318600000000002,0.8295579210254246,0.8341620789745757,0.5611360896914496,1.0,0.8511463786217361,0.006373319027698788,875.0997866666668,15
random|0.3|node_coordinated|0.2|0|post_failure,B3,random,count,0.7525400000000001,0.7493582818311618,0.7557217181688384,0.496857587877623,0.7540093461672465,0.5874908575743036,0.00813290640333023,4.0,15
random|0.3|node_coordinated|0.2|0|post_failure,B3L,random,lineage,0.7511733333333334,0.7489282273010114,0.7534184393656553,0.49707529208960755,0.7534250974655151,0.5848809085779707,0.008363759130397531,4.0,15
random|0.3|node_coordinated|0.2|0|post_failure,B5,support-count,count,0.7545933333333334,0.7520729130973087,0.7571137535693582,0.4937577402920363,0.6613299449284872,0.5673428493259881,0.007234379480593872,4.0,15
random|0.3|node_coordinated|0.2|0|post_failure,B6,lineage,lineage,0.7524466666666666,0.749577548628388,0.7553157847049452,0.5068385922621208,0.8522125720977783,0.6000951308586003,0.008734887567508395,4.0,15
random|0.3|node_coordinated|0.2|0|post_failure,B6C,lineage,count,0.7538266666666666,0.7518724245164315,0.7557809088169017,0.5079133516328382,0.8527732332547505,0.5996493385807826,0.00931311415581127,4.0,15
random|0.3|root|0.05|0|post_failure,B2,broad,count,0.8374766666666668,0.8358439544737876,0.839109378859546,0.567241535653606,1.0,0.8191464957239859,0.005486219109616743,875.0997866666668,15
random|0.3|root|0.05|0|post_failure,B2L,broad,lineage,0.8402000000000001,0.8383380253701327,0.8420619746298674,0.5682074276269982,1.0,0.8214071191256884,0.006432414869660101,875.0997866666668,15
random|0.3|root|0.05|0|post_failure,B3,random,count,0.8272166666666667,0.8253408709722919,0.8290924623610415,0.5617504580893613,0.7536385456720988,0.5574860866556749,0.006202887536898686,4.0,15
random|0.3|root|0.05|0|post_failure,B3L,random,lineage,0.8277266666666667,0.8255901977938885,0.8298631355394449,0.561727282972294,0.753986370563507,0.5593360206522145,0.007266157818320364,4.0,15
