strategy,mix,equalize_storage,condition,system,accuracy_macro,acc_ci_low,acc_ci_high,acc_revision_sensitive,knowledge_survival,iss,contradiction_f1,storage_per_claim,messages_per_claim,n_seeds
hybrid,"0.0,0.0,1.0",True,correlated_org|0.5|none|0.0|0|post_failure,B3,0.5626755413368676,0.5611145388456362,0.564236543828099,0.08272918309550491,0.8210266666666667,0.6220267097155253,0.45794556065792147,4.0,8.0,15
hybrid,"0.0,0.0,1.0",True,correlated_org|0.5|none|0.0|0|post_failure,B3Q,0.8051087355586884,0.8028976613983619,0.807319809719015,0.6744219893011648,0.8983733333333332,0.6294978618621826,0.2988298502632203,4.0,17.12334,15
hybrid,"0.0,0.0,1.0",True,correlated_org|0.5|none|0.0|0|post_failure,B6,0.5760815228311722,0.5736536110926442,0.5785094345697002,0.14178102828895156,0.8230966666666666,0.6875668327013652,0.640266232098795,4.0,8.0,15
hybrid,"0.0,0.0,1.0",True,correlated_org|0.5|none|0.0|0|post_failure,B7,0.817560586054449,0.8150188261531812,0.8201023459557168,0.713231688214422,0.9018466666666666,0.6883664727210999,0.4060182675212861,4.0,17.11974,15
hybrid,"0.0,0.0,1.0",True,random|0.3|node_coordinated|0.2|0|post_failure,B3,0.499793919717396,0.49621969090148,0.503368148533312,0.0682768299103315,0.75243,0.706067955493927,0.5399097222648485,4.0,8.0,15
hybrid,"0.0,0.0,1.0",True,random|0.3|node_coordinated|0.2|0|post_failure,B3Q,0.6026207147226829,0.5977158439695495,0.6075255854758163,0.4986457129661924,0.7243499999999999,0.7162520209948222,0.554728868201533,4.0,17.12334,15
hybrid,"0.0,0.0,1.0",True,random|0.3|node_coordinated|0.2|0|post_failure,B6,0.5097732621679713,0.505687830659618,0.5138586936763245,0.11867121716260162,0.7523466666666665,0.8100167473157247,0.5560980740055423,4.0,8.0,15
hybrid,"0.0,0.0,1.0",True,random|0.3|node_coordinated|0.2|0|post_failure,B7,0.6107897418809696,0.6055187544005466,0.6160607293613926,0.530354594642265,0.7258700000000001,0.8100269198417663,0.5840846674388536,4.0,17.11974,15
hybrid,"0.0,0.0,1.0",True,random|0.3|root|0.2|0|post_failure,B3,0.45823520280013746,0.4559515919780674,0.46051881362220753,0.06620035831345335,0.7030133333333332,0.7059718847274781,0.6276397297032829,4.0,8.0,15
hybrid,"0.0,0.0,1.0",True,random|0.3|root|0.2|0|post_failure,B3Q,0.6669509897436393,0.6639622610411003,0.6699397184461783,0.5833055781114491,0.7704333333333331,0.7164779583613078,0.6132666256121898,4.0,17.12334,15
