world_variant,condition,system,knowledge_survival,ks_ci_low,ks_ci_high,accuracy_macro,acc_ci_low,acc_ci_high,iss,contradiction_f1,contradiction_resolved_acc,messages_per_claim,n_seeds
all_single_root,correlated_org|0.5|none|0.0|0|post_failure,B2,0.8755866666666667,0.8740387129344118,0.8771346203989216,0.5939826773918497,0.5921427872228174,0.595822567560882,0.9999866644541423,0.0,nan,105.08936666666663,15
all_single_root,correlated_org|0.5|none|0.0|0|post_failure,B3,0.8199633333333334,0.8187834004849316,0.8211432661817352,0.544063002983535,0.5426599734307859,0.5454660325362842,0.9366366704305013,0.0,nan,8.0,15
all_single_root,correlated_org|0.5|none|0.0|0|post_failure,B3Q,0.9096966666666666,0.9089353812813308,0.9104579520520024,0.832023173490333,0.8303062892535308,0.8337400577271351,0.9367833296457927,0.0,nan,15.680946666666665,15
all_single_root,correlated_org|0.5|none|0.0|0|post_failure,B5,0.81997,0.8181749385584541,0.8217650614415458,0.5441029246860355,0.5420084175555845,0.5461974318164865,0.9366833289464315,0.0,nan,8.0,15
all_single_root,correlated_org|0.5|none|0.0|0|post_failure,B6,0.8221699999999998,0.8204948092022287,0.823845190797771,0.545959069415789,0.5442641908359623,0.5476539479956156,0.9388799945513407,0.0,nan,8.0,15
all_single_root,correlated_org|0.5|none|0.0|0|post_failure,B7,0.8882866666666666,0.8868982050161056,0.8896751283172275,0.7603942692822693,0.7583584098966397,0.7624301286678988,0.9379699945449829,0.0,nan,14.381120000000003,15
all_single_root,random|0.3|root|0.2|0|post_failure,B2,0.6995533333333334,0.6969954374625387,0.702111229204128,0.44259497826741984,0.4403823694221441,0.4448075871126956,1.0,0.0,nan,101.32043999999998,15
all_single_root,random|0.3|root|0.2|0|post_failure,B3,0.6937499999999999,0.6912102696319042,0.6962897303680955,0.4380989813360907,0.43594032445844927,0.44025763821373215,0.9918799956639608,0.0,nan,8.0,15
all_single_root,random|0.3|root|0.2|0|post_failure,B3Q,0.7713533333333333,0.7692040201345202,0.7735026465321465,0.680264295226004,0.6769520785681761,0.6835765118838318,0.9917999943097432,0.0,nan,15.680946666666665,15
all_single_root,random|0.3|root|0.2|0|post_failure,B5,0.69401,0.6915827919556398,0.6964372080443603,0.4381757812821671,0.4359834227598708,0.44036813980446343,0.9920100013415019,0.0,nan,8.0,15
all_single_root,random|0.3|root|0.2|0|post_failure,B6,0.6938066666666667,0.6912655810907743,0.6963477522425591,0.4378922000690673,0.43573391385180466,0.44005048628633,0.9919233361879984,0.0,nan,8.0,15
all_single_root,random|0.3|root|0.2|0|post_failure,B7,0.7519466666666668,0.7498455661736974,0.7540477671596362,0.619234375902616,0.6167567085153138,0.6217120432899181,0.9920300006866455,0.0,nan,14.381120000000003,15
all_single_root,random|0.5|none|0.0|0|post_failure,B2,0.87558,0.8740332023746081,0.8771267976253919,0.5941303418725109,0.5923480724334702,0.5959126113115516,0.9999799966812134,0.0,nan,105.10257666666668,15
all_single_root,random|0.5|none|0.0|0|post_failure,B3,0.8206600000000001,0.8191415951807989,0.8221784048192012,0.5451105210212103,0.5432697851103768,0.5469512569320437,0.937256666024526,0.0,nan,8.0,15
all_single_root,random|0.5|none|0.0|0|post_failure,B3Q,0.9108766666666668,0.9101467886373266,0.911606544696007,0.8335112084636561,0.8320164711038901,0.8350059458234221,0.9378866672515869,0.0,nan,15.680946666666665,15
all_single_root,random|0.5|none|0.0|0|post_failure,B5,0.8206133333333333,0.8191045429660452,0.8221221237006214,0.5449452399284976,0.5431754889670799,0.5467149908899154,0.9373066703478495,0.0,nan,8.0,15
all_single_root,random|0.5|none|0.0|0|post_failure,B6,0.8206433333333334,0.818667049501096,0.8226196171655707,0.5448709397749298,0.5427594020302576,0.546982477519602,0.9372199932734172,0.0,nan,8.0,15
all_single_root,random|0.5|none|0.0|0|post_failure,B7,0.8883066666666666,0.8872590788681249,0.8893542544652082,0.7597503057931091,0.7579078533643392,0.761592758221879,0.9380599935849507,0.0,nan,14.381120000000003,15
all_single_root,random|0.9|none|0.0|0|post_failure,B2,0.7850133333333333,0.7829479576127496,0.7870787090539171,0.5127044721188682,0.510610319380824,0.5147986248569123,0.8965499957402547,0.0,nan,124.62922,15
all_single_root,random|0.9|none|0.0|0|post_failure,B3,0.30104666666666663,0.2993220360494994,0.30277129728383384,0.16604215037215792,0.1648017490622914,0.16728255168202444,0.3444433331489563,0.0,nan,8.0,15
all_single_root,random|0.9|none|0.0|0|post_failure,B3Q,0.33249999999999996,0.3298119990946884,0.33518800090531153,0.2578893589676321,0.2556220841644792,0.260156633770785,0.34345333178838094,0.0,nan,15.680946666666665,15
all_single_root,random|0.9|none|0.0|0|post_failure,B5,0.3018633333333333,0.30013857570648284,0.3035880909601838,0.1672724204061339,0.165951691405684,0.16859314940658382,0.3446500023206075,0.0,nan,8.0,15
all_single_root,random|0.9|none|0.0|0|post_failure,B6,0.3008100000000001,0.29905250841398756,0.3025674915860126,0.166434425608012,0.16514495633646628,0.16772389487955772,0.34343666632970177,0.0,nan,8.0,15
all_single_root,random|0.9|none|0.0|0|post_failure,B7,0.3254533333333333,0.3237967267811197,0.32710993988554693,0.23586892161999143,0.23424940653260481,0.23748843670737804,0.34468999902407327,0.0,nan,14.381120000000003,15
all_single_root,targeted_whitebox|0.5|none|0.0|0|post_failure,B2,0.8705366666666666,0.8690118100726012,0.872061523260732,0.5888859782621966,0.5869855310366177,0.5907864254877755,0.9942499995231628,0.0,nan,105.75487333333334,15
all_single_root,targeted_whitebox|0.5|none|0.0|0|post_failure,B3,0.6777466666666668,0.6757446250310549,0.6797487083022787,0.4249987673791376,0.42277062284548483,0.4272269119127904,0.773959998289744,0.0,nan,8.0,15
all_single_root,targeted_whitebox|0.5|none|0.0|0|post_failure,B3Q,0.7483466666666667,0.7475052866036486,0.7491880467296849,0.6466483367872213,0.6452040682827128,0.6480926052917299,0.7736366589864095,0.0,nan,15.680946666666665,15
all_single_root,targeted_whitebox|0.5|none|0.0|0|post_failure,B5,0.6764500000000001,0.6753309755853345,0.6775690244146657,0.4245395033520854,0.4232996824999204,0.4257793242042504,0.7727566679318746,0.0,nan,8.0,15
