n_agents,regime,severity,corruption_type,corruption_level,partition_parts,phase,metric,system,baseline,mean_system,mean_baseline,mean_diff,ci_low,ci_high,cohens_dz,p_paired_t,n_pairs
100,correlated_domain,0.7,none,0.0,0,post_failure,iss,B7,B2,0.5302476435899734,0.9980591873327891,-0.46781154374281564,-0.47511169550319515,-0.45984124608337884,-21.48831178490569,2.027212722457655e-40,30
100,correlated_domain,0.9,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.3269666666666666,0.8412166666666665,-0.5142500000000001,-0.5219,-0.5065500000000001,-23.2606228757665,2.0446244407614065e-41,30
100,correlated_domain,0.9,none,0.0,0,post_failure,accuracy_macro,B6,B2,0.19601589729651417,0.574033425254239,-0.37801752795772486,-0.3841553463208381,-0.3719060128291685,-21.49430500919742,2.0109173253128466e-40,30
100,correlated_domain,0.9,none,0.0,0,post_failure,iss,B6,B2,0.21646416783332825,0.8951748748620351,-0.6787107070287068,-0.6835797030975421,-0.6737412394831578,-48.16219608494338,1.4206574153214265e-50,30
100,correlated_domain,0.9,none,0.0,0,post_failure,knowledge_survival,B6,B4,0.3269666666666666,0.5888833333333333,-0.26191666666666674,-0.28808416666666664,-0.23431625,-3.4314970111097605,8.782833020599813e-18,30
100,correlated_domain,0.9,none,0.0,0,post_failure,accuracy_macro,B6,B4,0.19601589729651417,0.363032231432652,-0.16701633413613778,-0.18699229770917009,-0.14625700810737882,-2.8930885481150015,8.088796564161765e-16,30
100,correlated_domain,0.9,none,0.0,0,post_failure,iss,B6,B4,0.21646416783332825,0.4225468118985494,-0.20608264406522114,-0.23389877560238043,-0.17719006529698772,-2.576762788535857,1.599306114076894e-14,30
100,correlated_domain,0.9,none,0.0,0,post_failure,knowledge_survival,B7,B2,0.34825,0.8412166666666665,-0.4929666666666667,-0.5005166666666667,-0.4856166666666667,-22.653863346461595,4.3945703548385596e-41,30
100,correlated_domain,0.9,none,0.0,0,post_failure,accuracy_macro,B7,B2,0.25878601125462314,0.574033425254239,-0.3152474139996158,-0.3221094015929876,-0.3084778810196735,-15.93913090931085,1.1452289035190406e-36,30
100,correlated_domain,0.9,none,0.0,0,post_failure,iss,B7,B2,0.2166489104429881,0.8951748748620351,-0.678525964419047,-0.683105675218006,-0.6737848024070262,-49.82736052069905,5.303588084581357e-51,30
100,correlated_org,0.1,none,0.0,0,post_failure,iss,B6,B2,0.896936543782552,1.0,-0.10306345621744792,-0.10453394830226898,-0.10158758575717608,-24.359028042244738,5.37590839342765e-42,30
100,correlated_org,0.1,none,0.0,0,post_failure,iss,B6,B4,0.896936543782552,0.9912253816922506,-0.09428883790969848,-0.09771454577644666,-0.09066306044658025,-9.28944474100312,6.515080821735985e-30,30
100,correlated_org,0.1,none,0.0,0,post_failure,iss,B7,B2,0.8967183947563171,1.0,-0.10328160524368286,-0.10485493063926697,-0.1017295654118061,-22.992210747812187,2.861119254984945e-41,30
100,correlated_org,0.1,none,0.0,0,post_failure,knowledge_survival,B7,B3Q,0.9424000000000002,0.9626499999999999,-0.020250000000000004,-0.022100000000000012,-0.018450000000000015,-3.906166859580346,2.620373665419979e-19,30
100,correlated_org,0.1,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.8364363924709495,0.8911499721733586,-0.05471357970240894,-0.05956329708346954,-0.04987957522596924,-3.9593617999362603,1.8101114886698045e-19,30
100,correlated_org,0.3,none,0.0,0,post_failure,iss,B6,B2,0.8192781329154968,1.0,-0.18072186708450316,-0.18408081635832788,-0.1775272645552953,-19.392302753903756,3.950150483073001e-39,30
100,correlated_org,0.3,none,0.0,0,post_failure,iss,B6,B4,0.8192781329154968,0.9505435168743134,-0.13126538395881654,-0.14099337751666705,-0.12024146909515064,-4.475764051011207,6.182320212607962e-21,30
100,correlated_org,0.3,none,0.0,0,post_failure,iss,B7,B2,0.8204378108183543,1.0,-0.1795621891816457,-0.18284934495886165,-0.17634369631608326,-19.449951255275167,3.625110312406347e-39,30
100,correlated_org,0.3,none,0.0,0,post_failure,knowledge_survival,B7,B3Q,0.9392499999999998,0.9528333333333333,-0.013583333333333326,-0.015549999999999993,-0.011599999999999992,-2.4188203230354524,7.888502033570056e-14,30
100,correlated_org,0.3,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.8307118365028199,0.8752999141961321,-0.04458807769331206,-0.04982859246494331,-0.03956713816718606,-3.0810884174225674,1.5490994692486804e-16,30
100,correlated_org,0.5,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.8427166666666667,0.8748166666666666,-0.03210000000000001,-0.034633333333333356,-0.02965000000000001,-4.5693441338230985,3.4827506377673085e-21,30
100,correlated_org,0.5,none,0.0,0,post_failure,accuracy_macro,B6,B2,0.5942402699790207,0.6049633737344603,-0.010723103755439634,-0.014398734775417485,-0.006800316129500951,-1.0070698097153385,6.053422964846969e-06,30
100,correlated_org,0.5,none,0.0,0,post_failure,iss,B6,B2,0.7035092234611511,0.9999902784824372,-0.296481055021286,-0.30118918359279634,-0.2918572348356247,-22.38082121510339,6.242472815519825e-41,30
