n_agents,regime,severity,corruption_type,corruption_level,partition_parts,phase,system,n_seeds,knowledge_survival_mean,knowledge_survival_sd,knowledge_survival_ci_low,knowledge_survival_ci_high,accuracy_macro_mean,accuracy_macro_sd,accuracy_macro_ci_low,accuracy_macro_ci_high,availability_mean,availability_sd,availability_ci_low,availability_ci_high,iss_mean,iss_sd,iss_ci_low,iss_ci_high,contradiction_f1_mean,contradiction_f1_sd,contradiction_f1_ci_low,contradiction_f1_ci_high,contradiction_precision_mean,contradiction_precision_sd,contradiction_precision_ci_low,contradiction_precision_ci_high,contradiction_recall_mean,contradiction_recall_sd,contradiction_recall_ci_low,contradiction_recall_ci_high,ece_mean,ece_sd,ece_ci_low,ece_ci_high,ece_recalibrated_mean,ece_recalibrated_sd,ece_recalibrated_ci_low,ece_recalibrated_ci_high,conf_auroc_mean,conf_auroc_sd,conf_auroc_ci_low,conf_auroc_ci_high,evidence_verification_acc_mean,evidence_verification_acc_sd,evidence_verification_acc_ci_low,evidence_verification_acc_ci_high,strategic_spearman_mean,strategic_spearman_sd,strategic_spearman_ci_low,strategic_spearman_ci_high,storage_per_claim_mean,storage_per_claim_sd,storage_per_claim_ci_low,storage_per_claim_ci_high,messages_per_claim_mean,messages_per_claim_sd,messages_per_claim_ci_low,messages_per_claim_ci_high,redundancy_efficiency_mean,redundancy_efficiency_sd,redundancy_efficiency_ci_low,redundancy_efficiency_ci_high,communication_efficiency_mean,communication_efficiency_sd,communication_efficiency_ci_low,communication_efficiency_ci_high,mean_probe_rounds_mean,mean_probe_rounds_sd,mean_probe_rounds_ci_low,mean_probe_rounds_ci_high,acc_single_hop_mean,acc_single_hop_sd,acc_single_hop_ci_low,acc_single_hop_ci_high,acc_multi_hop_mean,acc_multi_hop_sd,acc_multi_hop_ci_low,acc_multi_hop_ci_high,acc_temporal_mean,acc_temporal_sd,acc_temporal_ci_low,acc_temporal_ci_high,acc_revision_sensitive_mean,acc_revision_sensitive_sd,acc_revision_sensitive_ci_low,acc_revision_sensitive_ci_high,acc_reconstruction_mean,acc_reconstruction_sd,acc_reconstruction_ci_low,acc_reconstruction_ci_high,acc_given_answered_mean,acc_given_answered_sd,acc_given_answered_ci_low,acc_given_answered_ci_high,contradiction_resolved_acc_mean,contradiction_resolved_acc_sd,contradiction_resolved_acc_ci_low,contradiction_resolved_acc_ci_high,acc_partition_updated_mean,acc_partition_updated_sd,acc_partition_updated_ci_low,acc_partition_updated_ci_high,conflict_visible_rate_mean,conflict_visible_rate_sd,conflict_visible_rate_ci_low,conflict_visible_rate_ci_high,acc_class_correlated_mean,acc_class_correlated_sd,acc_class_correlated_ci_low,acc_class_correlated_ci_high,acc_class_independent_mean,acc_class_independent_sd,acc_class_independent_ci_low,acc_class_independent_ci_high,acc_single_root_mean,acc_single_root_sd,acc_single_root_ci_low,acc_single_root_ci_high,acc_multi_root_mean,acc_multi_root_sd,acc_multi_root_ci_low,acc_multi_root_ci_high,iss_class_correlated_mean,iss_class_correlated_sd,iss_class_correlated_ci_low,iss_class_correlated_ci_high,iss_class_independent_mean,iss_class_independent_sd,iss_class_independent_ci_low,iss_class_independent_ci_high,ece_class_correlated_mean,ece_class_correlated_sd,ece_class_correlated_ci_low,ece_class_correlated_ci_high,ece_class_independent_mean,ece_class_independent_sd,ece_class_independent_ci_low,ece_class_independent_ci_high,eval_seconds_mean,eval_seconds_sd,eval_seconds_ci_low,eval_seconds_ci_high
100,correlated_domain,0.1,none,0.0,0,post_failure,B0,30,0.42621666666666674,0.016542361156850562,0.4200396474942299,0.4323936858391036,0.1716345705561767,0.011261334517579496,0.1674295191392267,0.1758396219731267,0.48754999999999993,0.018640126350023146,0.4805896624309549,0.49451033756904494,0.2761137733856837,0.011651940005016998,0.27176286748267314,0.2804646792886943,0.04231560377681463,0.017330570018428037,0.03584426257841766,0.04878694497521159,0.9666666666666667,0.18257418583505533,0.8984923452622433,1.03484098807109,0.021692453911710798,0.009036339474139331,0.01831822929823771,0.025066678525183884,0.3033816064901234,0.01060837344304204,0.29942037474546984,0.307342838234777,0.02306710088918642,0.013412830456789317,0.01805866768532534,0.0280755340930475,0.5016630606062288,0.033728621753796144,0.48906858625896854,0.514257534953489,0.4196333333333333,0.01084048393541649,0.4155854301064212,0.4236812365602454,0.06130028837507209,0.02400679663820905,0.05233600318646111,0.07026457356368307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.42621666666666674,0.016542361156850562,0.4200396474942299,0.4323936858391036,0.13030000000000003,0.01476750860317432,0.1247857216629467,0.13581427833705334,0.24796379551699352,0.02425192456036682,0.23890797805795808,0.257019612976029,0.04832932262514373,0.011108087952549035,0.044181494416013205,0.052477150834274254,0.005363067972079599,0.012156916688360385,0.0008236006765888742,0.009902535267570324,0.8742394222833033,0.010154159133687966,0.870447796949166,0.8780310476174407,0.2519071792782284,0.03280069193673883,0.23965919961913823,0.2641551589373186,nan,nan,nan,nan,nan,nan,nan,nan,0.5087182122383983,0.08960405610135305,0.475259507811736,0.5421769166650606,0.42258164272558674,0.07441406246687675,0.39479497513935435,0.4503683103118191,0.4113571017448239,0.020933628061861824,0.40354035656191317,0.4191738469277347,0.43938575925650664,0.018998735215186587,0.43229151493651374,0.44648000357649953,0.5690736472606659,0.0854242401993457,0.5371757117423323,0.6009715827789995,0.16440564145644507,0.02529600726403804,0.1549599571085758,0.17385132580431434,0.18185862977669834,0.06748967599577788,0.15665757059205906,0.2070596889613376,0.3882623962431978,0.07932090863943746,0.35864348218400327,0.41788131030239234,0.003936863066701335,0.0001384528135646745,0.0038851639364648606,0.00398856219693781
100,correlated_domain,0.1,none,0.0,0,post_failure,B1,30,0.8743999999999997,0.006198442518501897,0.8720854635252487,0.8767145364747507,0.5974289900682695,0.01475831916920637,0.5919181431222532,0.6029398370142859,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9393770749825053,0.00963383038899196,0.935779743594769,0.9429744063702417,1.0,0.0,1.0,1.0,0.885834653530723,0.017124376387096654,0.8794403062996256,0.8922290007618204,0.11623007381508747,0.007658962376318405,0.11337017026257078,0.11908997736760417,0.023519018814268947,0.008968462018730156,0.020170140059193167,0.026867897569344726,0.651567971235988,0.015778293499924923,0.6456762596155455,0.6574596828564304,0.8219500000000001,0.009573985946122517,0.8183750148944822,0.825524985105518,0.633643579460895,0.016740588731741144,0.6273925408955193,0.6398946180262707,36.017050000000005,0.8811339417340941,35.68802917885064,36.34607082114937,40.95956666666666,0.9143075836234014,40.618158604057214,41.300974729276106,0.02429013988717874,0.0005638033666171279,0.024079612250159026,0.024500667524198452,0.021357170674051976,0.0004544122590701581,0.02118749034789707,0.021526851000206883,1.526616664727529,0.0107948623910208,1.5225857968652625,1.5306475325897955,0.8743999999999997,0.006198442518501897,0.8720854635252487,0.8767145364747507,0.7189499999999999,0.01893607667918569,0.71187915276187,0.7260208472381298,0.5026140438887946,0.020358981798251876,0.4950118751471809,0.5102162126304083,0.01735113524278168,0.009322506642587165,0.013870054052471482,0.02083221643309188,0.8738297712097708,0.04768913394208942,0.8560223559391156,0.891637186480426,0.8743999999999997,0.006198442518501897,0.8720854635252487,0.8767145364747507,0.5064956899386338,0.03380189740868129,0.4938738540121645,0.5191175258651031,nan,nan,nan,nan,nan,nan,nan,nan,0.8795780829029437,0.045640274122177756,0.8625357244624007,0.8966204413434867,0.8805274522342875,0.05322490060126825,0.8606529477214341,0.900401956747141,0.8730524830276646,0.010900504527955086,0.8689821677431667,0.8771227983121624,0.8749150402776891,0.013126045883735405,0.8700136941933339,0.8798163863620443,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.11677608376372303,0.044946486277794254,0.09999278996188093,0.13355937756556513,0.08622061228083613,0.03366182447334996,0.07365108044801326,0.09879014411365901,0.0041957673332944975,0.00010840764036155574,0.0041552872551120276,0.004236247411476967
100,correlated_domain,0.1,none,0.0,0,post_failure,B2,30,0.8742499999999999,0.006840233410012268,0.8716958148678435,0.8768041851321562,0.6031517028314585,0.016541414924192227,0.5969750369881031,0.6093283686748139,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9070378971476942,0.016839484307368868,0.900749930367481,0.9133258639279075,1.0,0.0,1.0,1.0,0.8303073363178702,0.028053141064118166,0.8198321212891878,0.8407825513465527,0.098440234375,0.0064076174427254474,0.09604759069988808,0.10083287805011193,0.0223922520654093,0.009896409205104147,0.018696872136354063,0.02608763199446454,0.6549737870635658,0.022101507495764772,0.6467209485330421,0.6632266255940895,0.6423166666666666,0.011162964732059112,0.6381483471313015,0.6464849862020318,-0.010537545934386484,0.028673534351341446,-0.02124441962372156,0.00016932775494859532,192.09093333333328,4.699381022581833,190.33615562053666,193.8457110461299,200.98084999999998,4.701359680710866,199.22533344411545,202.7363665558845,0.004553646162028386,0.00010786402620308049,0.004513369072708719,0.004593923251348053,0.00435202002940371,9.869832587902978e-05,0.00431516546883273,0.004388874589974691,2.5742666562398275,0.01085621748792008,2.5702128780078577,2.5783204344717974,0.8742499999999999,0.006840233410012268,0.8716958148678435,0.8768041851321562,0.7189333333333334,0.018929876647380925,0.7118648012251275,0.7260018654415393,0.5020109169743038,0.02362334269149082,0.4931898158425615,0.5108320181060461,0.04610655919071502,0.013025087529752151,0.04124291157529417,0.05097020680613587,0.8744577046589392,0.046500656064628276,0.8570940743211293,0.8918213349967492,0.8742499999999999,0.006840233410012268,0.8716958148678435,0.8768041851321562,0.5044808911219886,0.03636703538234908,0.4909012169345205,0.5180605653094567,nan,nan,nan,nan,nan,nan,nan,nan,0.8795780829029437,0.045640274122177756,0.8625357244624007,0.8966204413434867,0.8865518398751334,0.06088921613652196,0.8638154329073658,0.909288246842901,0.8730524830276646,0.010900504527955086,0.8689821677431667,0.8771227983121624,0.8747634609269207,0.011991913048108708,0.8702856070032874,0.879241314850554,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.11677608376372303,0.044946486277794254,0.09999278996188093,0.13355937756556513,0.09459942202652073,0.04462206152099168,0.07793727041978496,0.1112615736332565,0.011237832466758847,0.001156898085756777,0.010805839621933568,0.011669825311584125
100,correlated_domain,0.1,none,0.0,0,post_failure,B3,30,0.8743666666666667,0.007102614056583778,0.871714506990914,0.8770188263424195,0.608126202657523,0.018624951600244157,0.6011715314331693,0.6150808738818768,0.9999166666666668,0.00018952451089470496,0.9998458970512326,0.999987436282101,0.7560920933882396,0.0063849562017588134,0.7537079115595712,0.758476275216908,0.7457851985024603,0.02201857963457612,0.7375633257442127,0.7540070712607079,1.0,0.0,1.0,1.0,0.5950951313105292,0.02781662067435387,0.5847082344468532,0.6054820281742052,0.04163226535142571,0.005249424004794774,0.03967209821359006,0.04359243248926136,0.025641072252076434,0.008325897252126213,0.022532131124115104,0.028750013380037763,0.6160564570747081,0.021593418957044776,0.6079933419225589,0.6241195722268573,0.64105,0.01137931426332221,0.6368008942219765,0.6452991057780235,-0.005367751291937824,0.03275371831433267,-0.017598190712155813,0.006862688128280164,4.0,0.0,4.0,4.0,8.0,0.0,8.0,8.0,0.21859166666666668,0.0017756535141459444,0.2179286267477285,0.21925470658560486,0.10929583333333334,0.0008878267570729722,0.10896431337386425,0.10962735329280243,1.0,0.0,1.0,1.0,0.8743666666666667,0.007102614056583778,0.871714506990914,0.8770188263424195,0.71935,0.019522378847416855,0.712060223934258,0.726639776065742,0.5027832316245465,0.02393180245003082,0.4938469497260225,0.5117195135230705,0.071156044641332,0.01854601318089708,0.06423084950718842,0.07808123977547558,0.8729750703550699,0.04889224632748843,0.8547184055364971,0.8912317351736427,0.8744396781724195,0.007119310004392044,0.8717812841272962,0.8770980722175429,0.5067654350322172,0.03828644840845646,0.49246904024182714,0.5210618298226072,nan,nan,nan,nan,nan,nan,nan,nan,0.8795780829029437,0.045640274122177756,0.8625357244624007,0.8966204413434867,0.8822656172855771,0.06301516520440266,0.8587353678894276,0.9057958666817265,0.8730086233785418,0.010895043981119774,0.8689403470957423,0.8770768996613413,0.8759575920537324,0.013526070598471652,0.8709068742860397,0.881008309821425,1.0,0.0,1.0,1.0,0.772315376996994,0.03318600675271508,0.7599235184210344,0.7847072355729536,0.0801376445266628,0.03253935047500872,0.06798725137317195,0.09228803768015366,0.09225159938092144,0.03746091023450585,0.07826346561081264,0.10623973315103023,0.0040373759000128,0.00023743434760215633,0.003948716457540999,0.004126035342484601
100,correlated_domain,0.1,none,0.0,0,post_failure,B3Q,30,0.9625666666666668,0.004982267406086032,0.9607062574422645,0.9644270758910691,0.8913036213460469,0.012760874298454714,0.8865386325726052,0.8960686101194886,0.9999000000000001,0.00020341905108622071,0.999824042077991,0.9999759579220092,0.7665188769499461,0.00601631295579783,0.764272348771594,0.7687654051282983,0.48680309882130757,0.04127009537860926,0.4713925919423428,0.5022136057002724,0.6951831910451368,0.0370475138598508,0.6813494220182378,0.7090169600720359,0.37555695368416325,0.042063881179411386,0.3598500423159075,0.391263865052419,0.07579711183716857,0.00513796733662311,0.07387856330321083,0.07771566037112632,0.011387584013502816,0.0049560857844989014,0.009536951167271344,0.013238216859734288,0.7257838979335769,0.028231938086609003,0.7152419189994623,0.7363258768676915,0.6409333333333332,0.011707449244651537,0.6365616999395963,0.6453049667270702,-0.008427557156889288,0.029314723679463972,-0.01937385487616912,0.002518740562390544,4.0,0.0,4.0,4.0,15.687766666666665,0.019611191972307748,15.680443727235064,15.695089606098266,0.2406416666666667,0.001245566851521508,0.2401765643605661,0.24110676897276728,0.06135778780805896,0.0003080418459238092,0.061242763092412715,0.0614728125237052,1.0,0.0,1.0,1.0,0.9625666666666668,0.004982267406086032,0.9607062574422645,0.9644270758910691,0.9083666666666669,0.013491972922198354,0.9033286811805439,0.9134046521527899,0.8520235124538893,0.018405815002174822,0.8451506681800429,0.8588963567277357,0.7470708732898274,0.030968566397578796,0.7355070205503708,0.758634726029284,0.9864903876531839,0.01813755720580162,0.9797177124867364,0.9932630628196313,0.9626629314657329,0.004979055709851628,0.9608037215084139,0.9645221414230519,0.7637885825738632,0.03230764021734667,0.7517247114525332,0.7758524536951932,nan,nan,nan,nan,nan,nan,nan,nan,0.9857853032458848,0.017308981765117443,0.9793220232337558,0.9922485832580137,0.9451946675480885,0.0475718889155909,0.9274310322898321,0.9629583028063448,0.9869395092339385,0.004810713562755653,0.9851431592674201,0.9887358592004568,0.9386657494367743,0.009541464202409498,0.9351029081499368,0.9422285907236118,1.0,0.0,1.0,1.0,0.756944074233373,0.03351778633882357,0.7444283271239094,0.7694598213428365,0.09222354697343974,0.016319549671146256,0.0861297269771051,0.09831736696977438,0.10177810265616007,0.02956714971874719,0.09073754750473434,0.11281865780758579,0.0040095489332998115,0.0003563076249822568,0.003876501479557733,0.00414259638704189
100,correlated_domain,0.1,none,0.0,0,post_failure,B4,30,0.8726666666666667,0.006242696882583357,0.8703356053407895,0.8749977279925439,0.5897118027500401,0.017462795759369102,0.5831910876485383,0.5962325178515419,0.9984333333333334,0.0014955873793247277,0.9978748718278356,0.9989917948388312,0.9948684970537821,0.003807611504312479,0.9934467115516811,0.9962902825558831,0.9104929275516086,0.013659538538576597,0.9053923720360203,0.9155934830671969,1.0,0.0,1.0,1.0,0.8359700028773465,0.02289895243204246,0.82741939351389,0.8445206122408029,0.08462929801656012,0.006202589306289709,0.08231321310580138,0.08694538292731886,0.02152593394147921,0.009472161335479368,0.017988970770448417,0.025062897112510005,0.6853921936299944,0.0157533587561539,0.6795097927958945,0.6912745944640942,0.6494166666666668,0.011920052167593936,0.6449656460368105,0.653867687296523,0.3952718807179702,0.03022204866732126,0.3839867822801905,0.4065569791557499,48.02273333333332,1.1748452556454583,47.584038905134165,48.46142776153248,94.39373333333334,2.191629010471485,93.5753656113262,95.21210105534048,0.018181707676477137,0.00043179806108134625,0.018020471630629115,0.01834294372232516,0.009249449415299444,0.0002101711505370812,0.009170970217919388,0.0093279286126795,2.160366678237915,0.06879504008643625,2.13467818809112,2.18605516838471,0.8726666666666667,0.006242696882583357,0.8703356053407895,0.8749977279925439,0.7145833333333333,0.01633912341660313,0.7084822043803257,0.720684462286341,0.5006750561907578,0.02210131288963961,0.49242229032735546,0.5089278220541601,0.03814122977847693,0.013610516329851134,0.03305897945646418,0.043223480100489674,0.8224927277809663,0.06113461030768972,0.79966468912376,0.8453207664381726,0.874035583680241,0.006051911658293165,0.8717757627279165,0.8762954046325656,0.5030490042761271,0.034661532312286185,0.49010617540128026,0.515991833150974,nan,nan,nan,nan,nan,nan,nan,nan,0.8795780829029437,0.045640274122177756,0.8625357244624007,0.8966204413434867,0.8808847593442916,0.0513097861969884,0.86172537030259,0.9000441483859931,0.8691506344204785,0.010920822864001452,0.8650727321446121,0.8732285366963448,0.8740464495415695,0.012220498738882226,0.8694832403182263,0.8786096587649127,1.0,0.0,1.0,1.0,0.9913634816805522,0.008941454845476643,0.9880246875697057,0.9947022757913987,0.11677608376372303,0.044946486277794254,0.09999278996188093,0.13355937756556513,0.0889850314005461,0.041550676669340925,0.07346975374576259,0.10450030905532962,0.005788164466624343,0.0002512673689994674,0.005694339689072879,0.005881989244175806
100,correlated_domain,0.1,none,0.0,0,post_failure,B5,30,0.8726333333333334,0.006298512869544367,0.8702814299753956,0.8749852366912712,0.5976040442629987,0.015580097797005725,0.5917863401343054,0.603421748391692,0.9999166666666668,0.00018952451089470496,0.9998458970512326,0.999987436282101,0.566321446498235,0.007622952335810138,0.5634749893158291,0.569167903680641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05122204800316825,0.0061357605820523894,0.048930917348151436,0.053513178658185064,0.014157536896353016,0.009008889537039492,0.010793562257846633,0.0175215115348594,0.507357492113188,0.017198300952751794,0.5009355409956179,0.5137794432307582,0.6413833333333334,0.011146116791969743,0.6372213049221894,0.6455453617444774,-0.00929435777358944,0.02914634788972452,-0.020177782939699074,0.0015890673925201913,4.0,0.0,4.0,4.0,8.0,0.0,8.0,8.0,0.21815833333333334,0.0015746282173860918,0.2175703574938489,0.2187463091728178,0.10907916666666667,0.0007873141086930459,0.10878517874692445,0.1093731545864089,1.0,0.0,1.0,1.0,0.8726333333333334,0.006298512869544367,0.8702814299753956,0.8749852366912712,0.7154666666666665,0.018311920619684032,0.7086288831314492,0.7223044502018837,0.4959259654209997,0.020884738643793074,0.4881274758468183,0.503724454995181,0.030164484684223326,0.01175460440400243,0.02577524326460503,0.03455372610384162,0.8738297712097708,0.04768913394208942,0.8560223559391156,0.891637186480426,0.8727057945639486,0.006258573989095974,0.8703688046290655,0.8750427844988317,0.4910605838505288,0.03230829781010409,0.47899646718002764,0.50312470052103,nan,nan,nan,nan,nan,nan,nan,nan,0.8795780829029437,0.045640274122177756,0.8625357244624007,0.8966204413434867,0.8632551951769766,0.061521556104964285,0.8402826685844752,0.886227721769478,0.8729613945766721,0.010924195905707652,0.8688822327863331,0.8770405563670111,0.8717426468385869,0.013172219514538227,0.8668240592371336,0.8766612344400403,1.0,0.0,1.0,1.0,0.33333332240581515,2.8381084301728814e-08,0.33333331180814413,0.33333333300348617,0.07452679642302744,0.03060537373908425,0.06309856205107818,0.0859550307949767,0.08772171791750258,0.04494898581600214,0.07093749077275459,0.10450594506225057,0.003698674999971748,0.00020635623082736445,0.003621620317022539,0.003775729682920957
100,correlated_domain,0.1,none,0.0,0,post_failure,B6,30,0.8742833333333334,0.006186307646637899,0.8719733280942052,0.8765933385724616,0.6184359067022828,0.017115001064296077,0.6120450602742532,0.6248267531303123,1.0,0.0,1.0,1.0,0.8983091115951538,0.005385096419610458,0.8962982835450372,0.9003199396452705,0.9462471373694028,0.011050115602924656,0.9421209563913843,0.9503733183474213,1.0,0.0,1.0,1.0,0.898179076750015,0.019814773751046916,0.8907801186329007,0.9055780348671292,0.20140104166666667,0.006086856917754238,0.19912817194000873,0.2036739113933246,0.022664285879226354,0.008214440304258797,0.019596963459583047,0.02573160829886966,0.691879824319028,0.020454498603959984,0.6842419890159993,0.6995176596220566,0.9975333333333335,0.002112905065565398,0.9967443616154641,0.9983223050512029,0.9051809179452296,0.030187244699245677,0.8939088155227128,0.9164530203677463,4.0,0.0,4.0,4.0,8.0,0.0,8.0,8.0,0.21857083333333335,0.0015465769116594747,0.2179933320235513,0.2191483346431154,0.10928541666666668,0.0007732884558297374,0.10899666601177566,0.1095741673215577,1.0,0.0,1.0,1.0,0.8742833333333334,0.006186307646637899,0.8719733280942052,0.8765933385724616,0.7178833333333333,0.01808871020226731,0.7111288979377679,0.7246377687288987,0.5021598987684892,0.02013259790614792,0.4946422631614503,0.5096775343755281,0.12336724436436267,0.021632197642850005,0.11528964901295838,0.13144483971576695,0.8744857237118954,0.04808243601227959,0.8565314470346315,0.8924400003891593,0.8742833333333334,0.006186307646637899,0.8719733280942052,0.8765933385724616,0.505860035981942,0.032637809293028744,0.49367287770158447,0.5180471942622994,nan,nan,nan,nan,nan,nan,nan,nan,0.8795780829029437,0.045640274122177756,0.8625357244624007,0.8966204413434867,0.879864812782862,0.05547607131918424,0.8591497073090486,0.9005799182566754,0.8730524830276646,0.010900504527955086,0.8689821677431667,0.8771227983121624,0.8742023444210201,0.01323117157071869,0.8692617437600144,0.8791429450820257,1.0,0.0,1.0,1.0,0.9340457300345103,0.02531931545925163,0.9245913422635115,0.9435001178055091,0.3795780829029436,0.04564027412217775,0.3625357244624005,0.3966204413434867,0.12196658230984161,0.033391268879181,0.10949807759621567,0.13443508702346757,0.0038909371666098497,0.00012815858265477603,0.0038430819653683364,0.003938792367851363
100,correlated_domain,0.1,none,0.0,0,post_failure,B7,30,0.9433666666666667,0.006420513102996288,0.9409692076728721,0.9457641256604613,0.8389045277782411,0.016643096815759567,0.8326898932925773,0.8451191622639049,1.0,0.0,1.0,1.0,0.8986419260501861,0.005581904278869248,0.89655760873766,0.9007262433627122,0.7304865439908859,0.022167981575365404,0.7222088836311039,0.7387642043506678,0.810563473785865,0.023503635843811498,0.8017870719256581,0.8193398756460719,0.6656327763919617,0.03164362594919926,0.6538168522732528,0.6774487005106706,0.2583401041666667,0.00620446326566291,0.25602331950797796,0.2606568888253554,0.013517260711778448,0.007716548939993724,0.010635853982990582,0.016398667440566315,0.6824005957931413,0.025814976791816307,0.6727611250388091,0.6920400665474734,0.9853166666666666,0.002159515164829006,0.9845102904516972,0.986123042881636,0.8941285207821302,0.022964917582379944,0.8855532796267256,0.9027037619375349,4.0,0.0,4.0,4.0,14.507766666666669,0.028094278879286592,14.49727609052535,14.518257242807987,0.23584166666666667,0.001605128275749072,0.23524230191821802,0.23644103141511533,0.06502488980511083,0.00041660619152375066,0.06486932649658445,0.06518045311363721,1.0,0.0,1.0,1.0,0.9433666666666667,0.006420513102996288,0.9409692076728721,0.9457641256604613,0.8643333333333332,0.017704632811456594,0.8577223147924865,0.8709443518741798,0.7757396330749635,0.024486946335040696,0.766596057042993,0.784883209106934,0.6364283219979897,0.04057040180511228,0.6212790849932189,0.6515775590027605,0.9746546838182517,0.020650357080783947,0.9669437137580409,0.9823656538784625,0.9433666666666667,0.006420513102996288,0.9409692076728721,0.9457641256604613,0.6818737408938954,0.034840965551215776,0.6688639105464939,0.694883571241297,nan,nan,nan,nan,nan,nan,nan,nan,0.9768039277564539,0.023970612963220162,0.9678531537741342,0.9857547017387736,0.8984865555029002,0.051959822490635896,0.8790844389200353,0.9178886720857652,0.976781277816018,0.006261643712670336,0.9744431416275141,0.9791194140045218,0.9165686080031189,0.010288557077904511,0.9127267976518434,0.9204104183543944,1.0,0.0,1.0,1.0,0.9329783678054809,0.022914074115785412,0.9244221119125168,0.9415346236984451,0.48566242649244695,0.025088391885349653,0.47629426700106525,0.49503058598382865,0.12411301432679783,0.03441691149879811,0.1112615283648862,0.13696450028870946,0.0039487904666202665,0.00020124464098582973,0.003873644482686477,0.0040239364505540555
100,correlated_domain,0.3,none,0.0,0,post_failure,B0,30,0.3327833333333334,0.028688482409993485,0.322070877947165,0.34349578871950176,0.12977390279913878,0.014254055376635209,0.12445135104781341,0.13509645455046415,0.38093333333333335,0.03160852496676669,0.36913051613687103,0.39273615052979566,0.2159860536456108,0.0179028537361107,0.2093010181950644,0.2226710890961572,0.035967010261253395,0.017256237717611242,0.02952342520014077,0.04241059532236602,0.9666666666666667,0.18257418583505533,0.8984923452622433,1.03484098807109,0.01838930902976972,0.0090052226419883,0.0150267036323783,0.02175191442716114,0.30263212040132237,0.012913033530449447,0.29781031443688943,0.3074539263657553,0.029227281605132552,0.012307827429742518,0.024631463312707026,0.03382309989755808,0.503030331703066,0.03283147587031751,0.49077085713426394,0.515289806271868,0.40665000000000007,0.012261623619778223,0.4020714344937568,0.4112285655062433,0.039345661936415484,0.022290634680637578,0.031022202154432483,0.04766912171839849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.3327833333333334,0.028688482409993485,0.322070877947165,0.34349578871950176,0.07310000000000001,0.015055300361185665,0.06747825845439685,0.07872174154560317,0.19463098158163358,0.026469495992977647,0.18474710934096178,0.2045148538223054,0.039099307545961644,0.013363704526533236,0.034109218265932134,0.04408939682599115,0.00925589153476527,0.007756267230039829,0.0063596537527326495,0.012152129316797891,0.8734439351707184,0.010909935468149983,0.8693700983152763,0.8775177720261604,0.19636623221412144,0.03251223698416941,0.18422596340449893,0.20850650102374396,nan,nan,nan,nan,nan,nan,nan,nan,0.3864245366500876,0.09441326860939252,0.35117004275994956,0.4216790305402256,0.31846134365733203,0.06704149780418012,0.2934276369597965,0.34349505035486755,0.3226220704999972,0.030832991717086266,0.31110884217822554,0.33413529882176884,0.34245789400870463,0.029911249007180857,0.3312888500713237,0.3536269379460856,0.4294944559534391,0.08636096683892612,0.3972467409594213,0.4617421709474569,0.12490045502781869,0.022706611122065505,0.1164216670898597,0.13337924296577766,0.18778186387883702,0.07623615848346396,0.1593148144582485,0.21624891329942555,0.38336318548296106,0.08912811177486012,0.3500822015885664,0.4166441693773557,0.00382962313342432,0.00011534160786602658,0.0037865538692235996,0.0038726923976250406
