strategy,mix,equalize_storage,condition,system,accuracy_macro,acc_ci_low,acc_ci_high,acc_revision_sensitive,knowledge_survival,iss,contradiction_f1,storage_per_claim,messages_per_claim,n_seeds
hybrid,,True,random|0.3|root|0.2|0|post_failure,B6,0.4768134725986705,0.47404959119124157,0.47957735400609947,0.11695586244359808,0.7175233333333332,0.8108645876248678,0.827805613955604,4.0,8.0,15
hybrid,,True,random|0.3|root|0.2|0|post_failure,B7,0.6409827531902957,0.6380164361639777,0.6439490702166137,0.5099240701487123,0.7707933333333333,0.8100191235542298,0.7937590686199087,4.0,14.515566666666667,15
hybrid,,True,random|0.5|none|0.0|0|post_failure,B3,0.5633322237971242,0.5612231556073974,0.565441291986851,0.08435067674561655,0.8216833333333334,0.6229475498199463,0.4564412682571348,4.0,8.0,15
hybrid,,True,random|0.5|none|0.0|0|post_failure,B3Q,0.8076747357039817,0.8056307824431587,0.8097186889648048,0.6773924400139529,0.8985,0.6279746214548747,0.3005002265868003,4.0,15.68082,15
hybrid,,True,random|0.5|none|0.0|0|post_failure,B6,0.5749627139683606,0.5724738488060345,0.5774515791306868,0.14338449760142544,0.8217233333333335,0.686733603477478,0.6409446071009085,4.0,8.0,15
hybrid,,True,random|0.5|none|0.0|0|post_failure,B7,0.7637745881076943,0.7617306892242162,0.7658184869911724,0.5896377074865466,0.8819533333333335,0.6868787050247193,0.48441732098757817,4.0,14.515566666666667,15
hybrid,,True,targeted_whitebox|0.5|none|0.0|0|post_failure,B3,0.44212502272297094,0.44036071327939236,0.4438893321665495,0.07071845735226732,0.6791533333333334,0.5041407962640126,0.35117138268655534,4.0,8.0,15
hybrid,,True,targeted_whitebox|0.5|none|0.0|0|post_failure,B3Q,0.6285396066796396,0.6263316523323496,0.6307475610269296,0.536486685329162,0.7405233333333333,0.5076215505599976,0.2469015284602657,4.0,15.68082,15
hybrid,,True,targeted_whitebox|0.5|none|0.0|0|post_failure,B6,0.4518455578193294,0.45009746312938675,0.453593652509272,0.12028832174719756,0.6788500000000002,0.5500710725784301,0.5086805480652908,4.0,8.0,15
hybrid,,True,targeted_whitebox|0.5|none|0.0|0|post_failure,B7,0.5944009132415071,0.592180978584973,0.5966208478980413,0.46884984526386914,0.72609,0.5498991052309672,0.3976911909527656,4.0,14.515566666666667,15
random,,True,correlated_org|0.5|none|0.0|0|post_failure,B3,0.5626755413368676,0.5611145388456362,0.564236543828099,0.08272918309550491,0.8210266666666667,0.6220267097155253,0.45794556065792147,4.0,8.0,15
random,,True,correlated_org|0.5|none|0.0|0|post_failure,B3Q,0.7602213570583399,0.7579071812230245,0.7625355328936554,0.5594919779864659,0.8854600000000001,0.6267823855082194,0.2836580559675878,4.0,15.682259999999998,15
