condition,system,KS,KS_ci_low,KS_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,ISS,contradiction_F1,contradiction_resolved,acc_partition_updated,conflict_visible_rate,acc_given_answered,ECE_recal,storage_per_claim,messages_per_claim,RE,CE,n_seeds
50% targeted lineage attack,B3,0.6784183333333332,0.6774299254514028,0.6794067412152637,0.44073378283629056,0.43946155501381656,0.44200601065876455,0.5035939246416092,0.35108284282739677,0.39047616966457316,nan,nan,0.8755215789164751,0.006328783903522618,4.0,8.0,0.1696045833333333,0.08480229166666665,30
50% targeted lineage attack,B4,0.7485700000000002,0.746561367708879,0.7505786322911213,0.4724964624277611,0.4705514474666457,0.47444147738887654,0.6911732693513234,0.7465081006562179,0.4922124506599239,nan,nan,0.8759915693578589,0.007242765018211731,48.43714,105.089945,0.015455598898384403,0.007123608723751435,30
50% targeted lineage attack,B5,0.676605,0.6758673480956906,0.6773426519043094,0.4293134770630199,0.42821428921279553,0.4304126649132443,0.43724948664506275,0.0,0.3853920447258383,nan,nan,0.8748532001489389,0.00522728554784363,4.0,8.0,0.16915125,0.084575625,30
50% targeted lineage attack,B6,0.6787150000000001,0.6778283566376071,0.679601643362393,0.4511705321884398,0.44990150157454,0.45243956280233955,0.5500068585077922,0.506003539853711,0.393641700572207,nan,nan,0.8761083729684607,0.007579833427682971,4.0,8.0,0.16967875000000002,0.08483937500000001,30
50% targeted lineage attack,B7,0.725675,0.7247894201254866,0.7265605798745133,0.5938418416456368,0.5922845158121098,0.5953991674791638,0.5497206608454387,0.39801878571554805,0.511499906831938,nan,nan,0.9369310069463849,0.004165028190727167,4.0,14.516543333333335,0.18141875,0.049989550260897894,30
50% targeted lineage attack,B3Q,0.7397600000000001,0.7390114450517521,0.7405085549482481,0.628200729886503,0.6265767164989693,0.6298247432740367,0.507021717230479,0.2425679632599619,0.5659533943567457,nan,nan,0.9546298142458413,0.00400573574160802,4.0,15.680746666666666,0.18494000000000002,0.04717632852279561,30
20% origin-source corruption,B0,0.2455566666666667,0.2443675679663261,0.2467457653670073,0.09030395477062568,0.08960298278873285,0.0910049267525185,0.19785697907209396,0.00047926302647345365,0.19657297767565987,nan,nan,0.7009752693364362,0.011960660461883897,0.0,0.0,nan,nan,30
20% origin-source corruption,B1,0.6748566666666667,0.6063466310045802,0.7433667023287531,0.43077640250254967,0.387019567294208,0.47453323771089134,0.9333333333333333,0.8700974445411607,0.5765338929089443,nan,nan,0.7230607142857144,0.010341370739973857,36.327855,41.76341000000001,0.018578059554078725,0.016346304034079398,30
20% origin-source corruption,B2,0.7194349999999999,0.7182157417622604,0.7206542582377394,0.4638797156848885,0.4620450425745625,0.4657143887952145,1.0,0.8940395205092664,0.6083093357473293,nan,nan,0.7194349999999999,0.00970269829907595,193.74856,205.16834,0.00371360798739094,0.003506868348210553,30
20% origin-source corruption,B3,0.7022333333333333,0.7009104934157233,0.7035561732509432,0.4563988575996293,0.4547366561988091,0.45806105900044947,0.7059483607610066,0.6283899205804901,0.5736743225468526,nan,nan,0.7079126139960511,0.0076644406557642855,4.0,8.0,0.17555833333333332,0.08777916666666666,30
20% origin-source corruption,B4,0.7190633333333335,0.7179370161053291,0.7201896505613379,0.46066156945379017,0.45895368038308965,0.4623694585244907,0.9938342134157817,0.900839016269955,0.6111743399189098,nan,nan,0.7205752564886119,0.008575159925280176,48.43714,96.84450333333331,0.014846786017836509,0.0074255658095318125,30
20% origin-source corruption,B5,0.6947500000000002,0.6935179646123548,0.6959820353876456,0.44449847484315713,0.4428265756116066,0.44617037407470767,0.5611496110757191,0.0,0.5538430791587489,nan,nan,0.7003154217278266,0.008829371100652905,4.0,8.0,0.17368750000000005,0.08684375000000003,30
20% origin-source corruption,B6,0.7165133333333333,0.7151192766666162,0.7179073900000504,0.4752474563999922,0.4732898945961887,0.47720501820379574,0.8100534578164419,0.8270041576455962,0.6112306335373545,nan,nan,0.7224530754716298,0.009217792607171883,4.0,8.0,0.17912833333333333,0.08956416666666667,30
20% origin-source corruption,B7,0.7702950000000001,0.7689959349268137,0.7715940650731864,0.6400882716254465,0.6381312148985387,0.6420453283523542,0.809688909848531,0.7942567575764196,0.6597507341284182,nan,nan,0.7766284181386602,0.008595762396470526,4.0,14.516543333333335,0.19257375000000002,0.05306330684095719,30
20% origin-source corruption,B3Q,0.7703733333333334,0.7692893934115392,0.7714572732551275,0.6667806766758823,0.6648721703803728,0.6686891829713917,0.7146378298600514,0.6101906219710113,0.6423917968758275,nan,nan,0.7766134818006125,0.008273642469568503,4.0,15.680746666666666,0.19259333333333334,0.049128595502101934,30
20% coordinated node corruption,B0,0.24516833333333335,0.24340111086244287,0.24693555580422383,0.09023097286804395,0.08933884923679453,0.09112309649929337,0.19869037916262944,5.9476690581080863e-05,0.22301605932096943,nan,nan,0.6985913497957983,0.012247358826863586,0.0,0.0,nan,nan,30
20% coordinated node corruption,B1,0.6718933333333333,0.5311148630907836,0.8126718035758831,0.4594017134850081,0.3631400203537679,0.5556634066162482,0.9666666666666667,0.20584133597175952,0.6625090170020335,nan,nan,0.6950620689655173,0.005646543590854798,36.327855,41.519693333333336,0.01848735491289259,0.016267717322355057,30
