strategy,mix,equalize_storage,condition,system,accuracy_macro,acc_ci_low,acc_ci_high,acc_revision_sensitive,knowledge_survival,iss,contradiction_f1,storage_per_claim,messages_per_claim,n_seeds
hybrid,,False,correlated_org|0.5|none|0.0|0|post_failure,B3,0.5626755413368676,0.5611145388456362,0.564236543828099,0.08272918309550491,0.8210266666666667,0.6220267097155253,0.45794556065792147,4.0,8.0,15
hybrid,,False,correlated_org|0.5|none|0.0|0|post_failure,B3Q,0.8208709577615245,0.8183091589059585,0.8234327566170906,0.6926437349118805,0.9098200000000001,0.6461755037307739,0.3177590302642426,4.329999999999999,16.934093333333337,15
hybrid,,False,correlated_org|0.5|none|0.0|0|post_failure,B6,0.5760815228311722,0.5736536110926442,0.5785094345697002,0.14178102828895156,0.8230966666666666,0.6875668327013652,0.640266232098795,4.0,8.0,15
hybrid,,False,correlated_org|0.5|none|0.0|0|post_failure,B7,0.7670190978785509,0.765726451208461,0.7683117445486409,0.5970047117579167,0.8851966666666667,0.6923302412033081,0.49114226473586436,4.068030000000001,14.772693333333336,15
hybrid,,False,random|0.3|node_coordinated|0.2|0|post_failure,B3,0.499793919717396,0.49621969090148,0.503368148533312,0.0682768299103315,0.75243,0.706067955493927,0.5399097222648485,4.0,8.0,15
hybrid,,False,random|0.3|node_coordinated|0.2|0|post_failure,B3Q,0.6085848470519175,0.6044339788937233,0.6127357152101117,0.5022745105135237,0.7306466666666668,0.7291967829068502,0.5792973739747669,4.329999999999999,16.934093333333337,15
hybrid,,False,random|0.3|node_coordinated|0.2|0|post_failure,B6,0.5097732621679713,0.505687830659618,0.5138586936763245,0.11867121716260162,0.7523466666666665,0.8100167473157247,0.5560980740055423,4.0,8.0,15
hybrid,,False,random|0.3|node_coordinated|0.2|0|post_failure,B7,0.5935400881734437,0.5902155989545508,0.5968645773923367,0.4445186762061254,0.7370233333333335,0.8178673068682353,0.5842532926341968,4.068030000000001,14.772693333333336,15
hybrid,,False,random|0.3|root|0.2|0|post_failure,B3,0.45823520280013746,0.4559515919780674,0.46051881362220753,0.06620035831345335,0.7030133333333332,0.7059718847274781,0.6276397297032829,4.0,8.0,15
hybrid,,False,random|0.3|root|0.2|0|post_failure,B3Q,0.6712217034196224,0.6686999647986278,0.673743442040617,0.589506134409618,0.7737766666666667,0.7293656428654989,0.6392994214306081,4.329999999999999,16.934093333333337,15
hybrid,,False,random|0.3|root|0.2|0|post_failure,B6,0.4768134725986705,0.47404959119124157,0.47957735400609947,0.11695586244359808,0.7175233333333332,0.8108645876248678,0.827805613955604,4.0,8.0,15
hybrid,,False,random|0.3|root|0.2|0|post_failure,B7,0.6439582245086174,0.641611621845988,0.6463048271712468,0.5168139644877461,0.773,0.8170417348543803,0.8063166294009864,4.068030000000001,14.772693333333336,15
hybrid,,False,random|0.5|none|0.0|0|post_failure,B3,0.5633322237971242,0.5612231556073974,0.565441291986851,0.08435067674561655,0.8216833333333334,0.6229475498199463,0.4564412682571348,4.0,8.0,15
hybrid,,False,random|0.5|none|0.0|0|post_failure,B3Q,0.8217995515252275,0.8200595600746761,0.823539542975779,0.6909629592686256,0.9098166666666665,0.6460667848587036,0.31375406301112463,4.329999999999999,16.934093333333337,15
hybrid,,False,random|0.5|none|0.0|0|post_failure,B6,0.5749627139683606,0.5724738488060345,0.5774515791306868,0.14338449760142544,0.8217233333333335,0.686733603477478,0.6409446071009085,4.0,8.0,15
hybrid,,False,random|0.5|none|0.0|0|post_failure,B7,0.7670266411560428,0.7649733392015102,0.7690799431105754,0.5952264132175988,0.8845166666666665,0.6921056707700094,0.4914022734620678,4.068030000000001,14.772693333333336,15
hybrid,,False,targeted_whitebox|0.5|none|0.0|0|post_failure,B3,0.44212502272297094,0.44036071327939236,0.4438893321665495,0.07071845735226732,0.6791533333333334,0.5041407962640126,0.35117138268655534,4.0,8.0,15
hybrid,,False,targeted_whitebox|0.5|none|0.0|0|post_failure,B3Q,0.6560409138662229,0.65401714833943,0.6580646793930157,0.5652665524398404,0.7653833333333334,0.528329320748647,0.2522831530274737,4.329999999999999,16.934093333333337,15
hybrid,,False,targeted_whitebox|0.5|none|0.0|0|post_failure,B6,0.4518455578193294,0.45009746312938675,0.453593652509272,0.12028832174719756,0.6788500000000002,0.5500710725784301,0.5086805480652908,4.0,8.0,15
hybrid,,False,targeted_whitebox|0.5|none|0.0|0|post_failure,B7,0.6011774085149388,0.5989346551087804,0.6034201619210973,0.4782922946400071,0.7321966666666666,0.554271940390269,0.39923736726451803,4.068030000000001,14.772693333333336,15
