condition,system,placement,aggregation,knowledge_survival,ks_ci_low,ks_ci_high,accuracy_macro,iss,contradiction_f1,ece_recalibrated,storage_per_claim,n_seeds
correlated_org|0.5|none|0.0|0|post_failure,B2,broad,count,0.8775200000000001,0.8759437780720266,0.8790962219279735,0.6069454892635483,0.9999954462051391,0.9011963625615984,0.006225035322783996,194.0360533333333,15
correlated_org|0.5|none|0.0|0|post_failure,B2L,broad,lineage,0.8762000000000001,0.8748317000532689,0.8775682999467312,0.605122933183544,0.9999971588452657,0.8997047894497295,0.005982356795844184,194.0360533333333,15
correlated_org|0.5|none|0.0|0|post_failure,B3,random,count,0.8210266666666667,0.8201920568940181,0.8218612764393153,0.5626755413368676,0.6220267097155253,0.45794556065792147,0.0041716125142204205,4.0,15
correlated_org|0.5|none|0.0|0|post_failure,B3L,random,lineage,0.82086,0.8195192652662616,0.8222007347337384,0.562186752148462,0.6229354699452718,0.46111841152174915,0.005213092929043586,4.0,15
correlated_org|0.5|none|0.0|0|post_failure,B5,support-count,count,0.8203,0.8187016901474276,0.8218983098525725,0.5515277965359631,0.5302446722984314,0.0,0.0031949068837506074,4.0,15
correlated_org|0.5|none|0.0|0|post_failure,B6,lineage,lineage,0.8230966666666666,0.8213189051063746,0.8248744282269586,0.5760815228311722,0.6875668327013652,0.640266232098795,0.006324736817247978,4.0,15
correlated_org|0.5|none|0.0|0|post_failure,B6C,lineage,count,0.8230033333333334,0.8217708264857755,0.8242358401808914,0.5758136979826944,0.6874663511912028,0.6395417482063973,0.006759207606244937,4.0,15
random|0.3|node_coordinated|0.05|0|post_failure,B2,broad,count,0.8767433333333333,0.8754277226297581,0.8780589440369085,0.6050871846323552,1.0,0.4785246097911505,0.007417941087096961,194.0360533333333,15
random|0.3|node_coordinated|0.05|0|post_failure,B2L,broad,lineage,0.8742966666666667,0.872967736562295,0.8756255967710385,0.6028136357380336,1.0,0.47642570599797535,0.0067688050423108884,194.0360533333333,15
random|0.3|node_coordinated|0.05|0|post_failure,B3,random,count,0.8509866666666667,0.8495402141364741,0.8524331191968593,0.5876976224208441,0.7060501575469971,0.33381797346771014,0.006964446521819269,4.0,15
random|0.3|node_coordinated|0.05|0|post_failure,B3L,random,lineage,0.8497566666666666,0.8483453823322297,0.8511679510011035,0.5856754808024444,0.7059576710065206,0.3334487918718022,0.005736138743621709,4.0,15
