| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5417 | 0.5500 | +0.0083 | [-0.0750, +0.0750] | 2/3 | 1.000 | inside noise |
| AP | 0.2112 | 0.2177 | +0.0065 | [-0.0663, +0.1011] | 1/3 | 1.000 | inside noise |
| R@100 | 0.4000 | 0.3500 | -0.0500 | [-0.1250, +0.0500] | 1/3 | 1.000 | inside noise |
| rare recall | 0.1872 | 0.1210 | -0.0661 | [-0.1429, +0.0000] | 0/2 | 0.500 | inside noise |
| evidence cov. | 0.9250 | 0.7500 | -0.1750 | [-0.2250, -0.1500] | 0/3 | 0.250 | **worse** |
| FDR | 0.9638 | 0.9632 | -0.0006 | [-0.0051, +0.0050] | 2/3 | 1.000 | inside noise |
| decoy acc. | 0.4667 | 0.4583 | -0.0083 | [-0.0250, +0.0250] | 2/3 | 1.000 | inside noise |
| indep. acc. | 0.7651 | 0.7528 | -0.0123 | [-0.0573, +0.0137] | 2/3 | 1.000 | inside noise |
| lineage | 0.5320 | 0.5357 | +0.0037 | [-0.0220, +0.0188] | 2/3 | 1.000 | inside noise |
| contra F1 | 0.0513 | 0.2088 | +0.1575 | [+0.0000, +0.2906] | 2/2 | 0.500 | inside noise |
| compute | 1.39e+06 | 7.29e+05 | -6.66e+05 | [-7.35e+05, -6.30e+05] | 3/3 | 0.250 | **better** |
| calls | 2.67e+04 | 2.64e+04 | -2.97e+02 | [-3.41e+02, -2.18e+02] | 3/3 | 0.250 | **better** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1393 | 0.1393 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**span2_modal vs base** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5417 | 0.5833 | +0.0417 | [+0.0000, +0.0750] | 2/2 | 0.500 | inside noise |
| AP | 0.2112 | 0.2337 | +0.0225 | [+0.0073, +0.0395] | 3/3 | 0.250 | **better** |
| R@100 | 0.4000 | 0.3833 | -0.0167 | [-0.0250, +0.0000] | 0/2 | 0.500 | inside noise |
| rare recall | 0.1872 | 0.1974 | +0.0103 | [-0.1429, +0.1111] | 2/3 | 1.000 | inside noise |
| evidence cov. | 0.9250 | 0.7500 | -0.1750 | [-0.2250, -0.1500] | 0/3 | 0.250 | **worse** |
