| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1381 | 0.1381 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**qf1.00 vs qf0.50** — 5 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5550 | 0.5650 | +0.0100 | [-0.0400, +0.0600] | 2/3 | 1.000 | inside noise |
| AP | 0.1572 | 0.0464 | -0.1108 | [-0.1473, -0.0710] | 0/5 | 0.062 | **worse** |
| R@100 | 0.2950 | 0.2350 | -0.0600 | [-0.0950, -0.0300] | 0/5 | 0.062 | **worse** |
| rare recall | 0.3565 | 0.3844 | +0.0279 | [-0.0435, +0.1107] | 2/4 | 1.000 | inside noise |
| evidence cov. | 0.8750 | 0.9850 | +0.1100 | [+0.0550, +0.1750] | 5/5 | 0.062 | **better** |
| FDR | 0.9629 | 0.9619 | -0.0010 | [-0.0043, +0.0024] | 3/5 | 1.000 | inside noise |
| decoy acc. | 0.3200 | 0.3150 | -0.0050 | [-0.0300, +0.0200] | 2/4 | 1.000 | inside noise |
| indep. acc. | 0.7684 | 0.7616 | -0.0068 | [-0.0261, +0.0141] | 2/5 | 1.000 | inside noise |
| lineage | 0.5115 | 0.5270 | +0.0155 | [+0.0064, +0.0224] | 4/5 | 0.375 | **better** |
| contra F1 | 0.2253 | 0.2027 | -0.0225 | [-0.1422, +0.0972] | 3/5 | 1.000 | inside noise |
| compute | 1.20e+06 | 1.79e+06 | +5.84e+05 | [+5.49e+05, +6.21e+05] | 0/5 | 0.062 | **worse** |
| calls | 2.62e+04 | 2.68e+04 | +5.59e+02 | [+5.05e+02, +6.37e+02] | 0/5 | 0.062 | **worse** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1381 | 0.1381 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
QFV3_DONE
